row_label_raw,row_label_full,- Lãi do thanh lý khoản đầu tư (Thuyết minh số 5) > - Chênh lệch tỷ giá trong năm,Năm 2025VND > 355.384.000.000 > 84.630.000.000,Năm 2024VND > 391.020.000.000 > -,numeric__Năm 2025VND > 355.384.000.000 > 84.630.000.000,numeric__Năm 2024VND > 391.020.000.000 > -
- Thu nhập cổ tức,- Thu nhập cổ tức,- Thu nhập cổ tức,-,60.740.000.000,,60740000000.0
"- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",29.317.872.449,21.552.660.339,29317872449.0,21552660339.0
Cộng,Cộng,Cộng,469.331.872.449,473.312.660.339,469331872449.0,473312660339.0
