row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Chương trìnhphần mềm máy tínhVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Chương trìnhphần mềm máy tínhVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,400.500.000.000,14.820.270.381,415.320.270.381,400500000000.0,14820270381.0,415320270381.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,400.500.000.000,14.820.270.381,415.320.270.381,400500000000.0,14820270381.0,415320270381.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,
01/01/2025,GIÁ TRỊ HAO MÒN > 01/01/2025,01/01/2025,-,(14.660.364.587),(14.660.364.587),,-14660364587.0,-14660364587.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,-,(159.905.794),(159.905.794),,-159905794.0,-159905794.0
31/12/2025,GIÁ TRỊ HAO MÒN > 31/12/2025,31/12/2025,-,(14.820.270.381),(14.820.270.381),,-14820270381.0,-14820270381.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,400.500.000.000,159.905.794,400.659.905.794,400500000000.0,159905794.0,400659905794.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,400.500.000.000,-,400.500.000.000,400500000000.0,,400500000000.0
