row_label_raw,row_label_full,col_0,Năm 2025VND,Năm 2024VND,numeric__Năm 2025VND,numeric__Năm 2024VND
Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,Công ty Cổ phần ĐK Phú Quốc,,
Tiền lãi đầu tư,Công ty Cổ phần ĐK Phú Quốc > Tiền lãi đầu tư,Tiền lãi đầu tư,1.812.263.222,1.982.016.603,1812263222.0,1982016603.0
Tạm ứng phát triển dự án,Công ty Cổ phần ĐK Phú Quốc > Tạm ứng phát triển dự án,Tạm ứng phát triển dự án,102.000.000,567.000.000,102000000.0,567000000.0
Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin,,
Hoàn tạm ứng phát triển dự án,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin > Hoàn tạm ứng phát triển dự án,Hoàn tạm ứng phát triển dự án,2.360.000.000,-,2360000000.0,
Tạm ứng phát triển dự án,Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin > Tạm ứng phát triển dự án,Tạm ứng phát triển dự án,1.368.180.273,3.863.000.000,1368180273.0,3863000000.0
Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây,,
Góp vốn,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Góp vốn,Góp vốn,80.996.000.000,6.553.000.000,80996000000.0,6553000000.0
Nhận hoàn trả cho vay,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Nhận hoàn trả cho vay,Nhận hoàn trả cho vay,61.446.757.000,-,61446757000.0,
Thu lãi cho vay,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Thu lãi cho vay,Thu lãi cho vay,12.316.976.585,-,12316976585.0,
Lãi cho vay,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Lãi cho vay,Lãi cho vay,8.744.874.862,7.944.793.633,8744874862.0,7944793633.0
Cho vay,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Cho vay,Cho vay,9.862.483.713,388.963.490.356,9862483713.0,388963490356.0
Cung cấp dịch vụ,Công ty Cổ phần Đầu tư Bất động sản Ngô Mây > Cung cấp dịch vụ,Cung cấp dịch vụ,1.437.161.514,2.053.657.779,1437161514.0,2053657779.0
