row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Ông Nguyễn Huy Lễ,Ông Nguyễn Huy Lễ,Ông Nguyễn Huy Lễ,Bên liên quan của Công ty con đến ngày 25/12/2025,
Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bà Trần Thị Hoài An,Bên liên quan của Công ty con từ ngày 14/11/2025,
Ông Phan Thanh Dũng,Ông Phan Thanh Dũng,Ông Phan Thanh Dũng,Bên liên quan của Công ty con từ ngày 31/10/2025,
Ông Phan Huy Hân,Ông Phan Huy Hân,Ông Phan Huy Hân,Bên liên quan của Công ty con,
Bà Ngô Thúy Vân,Bà Ngô Thúy Vân,Bà Ngô Thúy Vân,Bên liên quan của Công ty con đến ngày 01/02/2026,
Ông Phạm Quốc Huy,Ông Phạm Quốc Huy,Ông Phạm Quốc Huy,Bên liên quan của Công ty con từ ngày 30/10/2025,
Ông Trần Phước An,Ông Trần Phước An,Ông Trần Phước An,Bên liên quan của Công ty con từ ngày 03/12/2025,
Ông Nguyễn Hồng Giang,Ông Nguyễn Hồng Giang,Ông Nguyễn Hồng Giang,Bên liên quan của Công ty con từ ngày 03/12/2025,
Ông Nguyễn Hữu Lễ,Ông Nguyễn Hữu Lễ,Ông Nguyễn Hữu Lễ,Bên liên quan của Công ty con đến ngày 02/12/2025,
Ông Phạm Công Thành,Ông Phạm Công Thành,Ông Phạm Công Thành,Bên liên quan của Công ty con đến ngày 02/12/2025,
Ông Phan Tại Sanh,Ông Phan Tại Sanh,Ông Phan Tại Sanh,Bên liên quan của Công ty con đến ngày 13/11/2025,
