row_label_raw,row_label_full,Bên cho vay,Số cuối năm VND,Số đầu năm VND,Kỳ hạn trả gốc,Mục đích,Lãi suất %/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Số đầu năm VND,numeric__Kỳ hạn trả gốc,numeric__Mục đích,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,Công ty Cổ phần Đầu Tư Tài Chính Việt Long,,,,,,
Khoản vay 1,Công ty Cổ phần Đầu Tư Tài Chính Việt Long > Khoản vay 1,Khoản vay 1,80.000.000.000,80.000.000.000,Ngày 3 tháng 6 năm 2026,Bổ sung vốn lưu động,11%/năm,8.650.000 cổ phiếu PDR sở hữu bởi cổ đông,80000000000.0,80000000000.0,,,,
Khoản vay 2,Công ty Cổ phần Đầu Tư Tài Chính Việt Long > Khoản vay 2,Khoản vay 2,60.000.000.000,-,Ngày 19 tháng 11 năm 2026,Bổ sung vốn lưu động,12%/năm,5.000.000 cổ phiếu PDR sở hữu bởi cổ đông,60000000000.0,,,,,
Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN,,,,,,
Khoản vay 1,Công ty Cổ phần Đầu Tư Và Quản Lý Khách Sạn AKYN > Khoản vay 1,Khoản vay 1,264.348.326.202,353.065.100.000,Ngày 3 tháng 4 năm 2028,Bổ sung vốn lưu động,8%/năm,Quyền sở hữu đối với toàn bộ cổ phần Công ty Cổ phần Bất Động Sản Commonwealth Properties,264348326202.0,353065100000.0,,,,
Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,,,,,,
Khoản vay 1,Ông Đoàn Đức Luyện > Khoản vay 1,Khoản vay 1,41.000.000.000,40.000.000.000,Ngày 12 tháng 12 năm 2026,Bổ sung vốn lưu động,12%/năm,4.080.000 cổ phiếu PDR sở hữu bởi cổ đông,41000000000.0,40000000000.0,,,,
Khoản vay 2,Ông Đoàn Đức Luyện > Khoản vay 2,Khoản vay 2,72.000.000.000,72.000.000.000,Ngày 8 tháng 1 năm 2027,Bổ sung vốn lưu động,12%/năm,7.526.420 cổ phiếu PDR sở hữu bởi cổ đông,72000000000.0,72000000000.0,,,,
CỘNG,Ông Đoàn Đức Luyện > CỘNG,CỘNG,517.348.326.202,,,,,,517348326202.0,,,,,
Trong đó:- Ngắn hạn,Ông Đoàn Đức Luyện > Trong đó:- Ngắn hạn,Trong đó:- Ngắn hạn,181.000.000.000,VND,,,,,181000000000.0,,,,,
- Dải hạn,Ông Đoàn Đức Luyện > - Dải hạn,- Dải hạn,336.348.326.202,VND,,,,,336348326202.0,,,,,
