row_label_raw,row_label_full,"Công ty liên doanh, liên kết",Trụ sở,Ngành nghề,Tại 31/12/2025,Tại 31/12/2025_1,Tại 01/01/2025,Tại 01/01/2025_1,numeric__Trụ sở,numeric__Ngành nghề,numeric__Tại 31/12/2025,numeric__Tại 31/12/2025_1,numeric__Tại 01/01/2025,numeric__Tại 01/01/2025_1
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",Trụ sở,Ngành nghề,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích,,,,,,
- Công ty Cổ phầnBắt động sảnCommonwealth Properties,"Công ty liên doanh, liên kết > - Công ty Cổ phầnBắt động sảnCommonwealth Properties",- Công ty Cổ phầnBắt động sảnCommonwealth Properties,"Tầng 12 Tháp A2, Tòa nhà Viettel, 285 Cách Mạng Thắng Tám, Phường Hòa Hưng, TP HCM",Kinh doanh Bất động sản,"27,00%","27,00%","27,00%","27,00%",,,0.27,0.27,0.27,0.27
