row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Số có khả năng trả nợ (VND),Trong năm > Tăng VND,Trong năm > Giảm VND,01/01/2025 > Giá trị VND,01/01/2025 > Số có khả năng trả nợ (VND),numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Số có khả năng trả nợ (VND),numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Số có khả năng trả nợ (VND)
a) Vay và nợ thuê tài chính ngắn hạn,a) Vay và nợ thuê tài chính ngắn hạn,a) Vay và nợ thuê tài chính ngắn hạn,702.136.070.424,702.136.070.424,582.136.070.424,1.029.725.295.267,1.149.725.295.267,1.149.725.295.267,702136070424.0,702136070424.0,582136070424.0,1029725295267.0,1149725295267.0,1149725295267.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,337.390.619.928,337.390.619.928,217.390.619.928,1.029.725.295.267,1.149.725.295.267,1.149.725.295.267,337390619928.0,337390619928.0,217390619928.0,1029725295267.0,1149725295267.0,1149725295267.0
+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),97.104.953.399,97.104.953.399,97.104.953.399,153.195.295.267,153.195.295.267,153.195.295.267,97104953399.0,97104953399.0,97104953399.0,153195295267.0,153195295267.0,153195295267.0
+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),59.285.666.529,59.285.666.529,59.285.666.529,-,-,-,59285666529.0,59285666529.0,59285666529.0,,,
+ Vay tổ chức (ii),+ Vay tổ chức (ii),+ Vay tổ chức (ii),140.000.000.000,140.000.000.000,60.000.000.000,766.530.000.000,846.530.000.000,846.530.000.000,140000000000.0,140000000000.0,60000000000.0,766530000000.0,846530000000.0,846530000000.0
+ Vay cá nhân (ii),+ Vay cá nhân (ii),+ Vay cá nhân (ii),41.000.000.000,41.000.000.000,1.000.000.000,110.000.000.000,150.000.000.000,150.000.000.000,41000000000.0,41000000000.0,1000000000.0,110000000000.0,150000000000.0,150000000000.0
Nợ dài hạn đến hạn trả (thời hạn dưới 1 năm),Nợ dài hạn đến hạn trả (thời hạn dưới 1 năm),Nợ dài hạn đến hạn trả (thời hạn dưới 1 năm),364.745.450.496,364.745.450.496,364.745.450.496,-,-,-,364745450496.0,364745450496.0,364745450496.0,,,
+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),+ Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 11 (i),131.275.520.000,131.275.520.000,131.275.520.000,-,-,-,131275520000.0,131275520000.0,131275520000.0,,,
+ Ngân hàng TMCP Quân đội - CN Sài Gòn (i),+ Ngân hàng TMCP Quân đội - CN Sài Gòn (i),+ Ngân hàng TMCP Quân đội - CN Sài Gòn (i),224.999.930.496,224.999.930.496,224.999.930.496,-,-,-,224999930496.0,224999930496.0,224999930496.0,,,
+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),+ Ngân hàng TMCP Việt Nam Thịnh Vượng (i),8.470.000.000,8.470.000.000,8.470.000.000,-,-,-,8470000000.0,8470000000.0,8470000000.0,,,
