row_label_raw,row_label_full,Nhóm tài sản cố định,Thời gian khấu hao (năm),numeric__Thời gian khấu hao (năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",06 - 07,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,03 - 06,
Phần mềm máy tính,Phương tiện vận tải > Phần mềm máy tính,Phần mềm máy tính,03,3.0
