row_label_raw,row_label_full,Khoản mục > 01/01/2024,Vốn đầu tư của chủ sở hữu VND > 7.388.108.400.000,Thặng dư vốn cổ phần VND > 71.120.900.000,Quỹ đầu tư phát triển VND > 230.128.842.335,Lợi nhuận sau thuế chưa phân phối VND > 1.951.500.229.642,Tổng cộng VND > 9.640.858.371.977,numeric__Vốn đầu tư của chủ sở hữu VND > 7.388.108.400.000,numeric__Thặng dư vốn cổ phần VND > 71.120.900.000,numeric__Quỹ đầu tư phát triển VND > 230.128.842.335,numeric__Lợi nhuận sau thuế chưa phân phối VND > 1.951.500.229.642,numeric__Tổng cộng VND > 9.640.858.371.977
- Phát hành cổ phiếu,- Phát hành cổ phiếu,- Phát hành cổ phiếu,1.343.292.430.000,(646.100.000),-,-,1.342.646.330.000,1343292430000.0,-646100000.0,,,1342646330000.0
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,-,-,149.604.280.338,149.604.280.338,,,,149604280338.0,149604280338.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,13.681.172.194,(27.362.344.388),(13.681.172.194),,,13681172194.0,-27362344388.0,-13681172194.0
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,-,(4.972.130.256),(4.972.130.256),,,,-4972130256.0,-4972130256.0
31/12/2024,31/12/2024,31/12/2024,8.731.400.830.000,70.474.800.000,243.810.014.529,2.068.770.035.336,11.114.455.679.865,8731400830000.0,70474800000.0,243810014529.0,2068770035336.0,11114455679865.0
01/01/2025,01/01/2025,01/01/2025,8.731.400.830.000,70.474.800.000,243.810.014.529,2.068.770.035.336,11.114.455.679.865,8731400830000.0,70474800000.0,243810014529.0,2068770035336.0,11114455679865.0
- Tăng vốn trong năm nay (*),- Tăng vốn trong năm nay (*),- Tăng vốn trong năm nay (*),520.950.000.000,339.950.000.000,-,-,860.900.000.000,520950000000.0,339950000000.0,,,860900000000.0
- Chi cổ tức bằng cổ phiếu (**),- Chi cổ tức bằng cổ phiếu (**),- Chi cổ tức bằng cổ phiếu (**),725.742.960.000,-,-,(725.742.960.000),-,725742960000.0,,,-725742960000.0,
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,-,-,368.137.629.227,368.137.629.227,,,,368137629227.0,368137629227.0
- Phân phối lợi nhuận (***),- Phân phối lợi nhuận (***),- Phân phối lợi nhuận (***),-,-,4.652.630.574,(9.305.261.148),(4.652.630.574),,,4652630574.0,-9305261148.0,-4652630574.0
- Thù lao HĐQT (****),- Thù lao HĐQT (****),- Thù lao HĐQT (****),-,-,-,(5.150.699.076),(5.150.699.076),,,,-5150699076.0,-5150699076.0
31/12/2025,31/12/2025,31/12/2025,9.978.093.790.000,410.424.800.000,248.462.645.103,1.696.708.744.339,12.333.689.979.442,9978093790000.0,410424800000.0,248462645103.0,1696708744339.0,12333689979442.0
