row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,348.669.597.008,268.744.560.247,2.734.286.747,620.148.444.002,348669597008.0,268744560247.0,2734286747.0,620148444002.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,13.817.362.674,-,13.817.362.674,,13817362674.0,,13817362674.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 12),-,16.143.518.519,-,16.143.518.519,,16143518519.0,,16143518519.0
Thanh lý/xóa sổ,Nguyên giá > Thanh lý/xóa sổ,Thanh lý/xóa sổ,-,(4.365.950.000),-,(4.365.950.000),,-4365950000.0,,-4365950000.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,348.669.597.008,294.339.491.440,2.734.286.747,645.743.375.195,348669597008.0,294339491440.0,2734286747.0,645743375195.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2023,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,9.509.697.894,215.400.913.242,1.509.451.311,226.420.062.447,9509697894.0,215400913242.0,1509451311.0,226420062447.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.432.951.459,34.413.310.216,610.091.820,36.456.353.495,1432951459.0,34413310216.0,610091820.0,36456353495.0
Thanh lý/xóa sổ,Khấu hao lũy kế > Thanh lý/xóa sổ,Thanh lý/xóa sổ,-,(4.365.950.000),-,(4.365.950.000),,-4365950000.0,,-4365950000.0
Tại ngày 31 tháng 12 năm 2023,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,10.942.649.353,245.448.273.458,2.119.543.131,258.510.465.942,10942649353.0,245448273458.0,2119543131.0,258510465942.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,339.159.899.114,53.343.647.005,1.224.835.436,393.728.381.555,339159899114.0,53343647005.0,1224835436.0,393728381555.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,337.726.947.655,48.891.217.982,614.743.616,387.232.909.253,337726947655.0,48891217982.0,614743616.0,387232909253.0
