row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàcác thiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàcác thiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,6.763.579.410.928,5.415.360.790.999,919.720.685.491,448.451.108.710,43.760.326.062.505,57.307.438.058.633,6763579410928.0,5415360790999.0,919720685491.0,448451108710.0,43760326062505.0,57307438058633.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,7.719.995.551,117.268.289.815,8.304.495.560,77.263.233.015,64.516.185.799,275.072.199.740,7719995551.0,117268289815.0,8304495560.0,77263233015.0,64516185799.0,275072199740.0
Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),4.982.193.602.623,12.119.790.273,-,-,889.449.476.342,5.883.762.869.238,4982193602623.0,12119790273.0,,,889449476342.0,5883762869238.0
Thanh lý/xóa sổ,Nguyên giá > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(3.132.911.516),(8.681.598.386),(9.846.656.013),(12.296.587.073),(1.472.900.506),(35.430.653.494),-3132911516.0,-8681598386.0,-9846656013.0,-12296587073.0,-1472900506.0,-35430653494.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,11.750.360.097.586,5.536.067.272.701,918.178.525.038,513.417.754.652,44.712.818.824.140,63.430.842.474.117,11750360097586.0,5536067272701.0,918178525038.0,513417754652.0,44712818824140.0,63430842474117.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,5.043.298.451.261,3.458.080.913.727,754.546.007.125,377.433.944.967,31.698.142.282.082,41.331.501.599.162,5043298451261.0,3458080913727.0,754546007125.0,377433944967.0,31698142282082.0,41331501599162.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,321.024.188.889,283.458.320.049,27.773.090.571,41.461.212.536,2.315.391.384.790,2.989.108.196.835,321024188889.0,283458320049.0,27773090571.0,41461212536.0,2315391384790.0,2989108196835.0
Thanh lý/xóa sổ,Khấu hao lũy kế > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(2.674.781.738),(8.681.598.386),(9.846.656.013),(11.996.427.073),(1.472.900.506),(34.672.363.716),-2674781738.0,-8681598386.0,-9846656013.0,-11996427073.0,-1472900506.0,-34672363716.0
Tại ngày 31 tháng 12 năm 2023,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,5.361.647.858.412,3.732.857.635.390,772.472.441.683,406.898.730.430,34.012.060.766.366,44.285.937.432.281,5361647858412.0,3732857635390.0,772472441683.0,406898730430.0,34012060766366.0,44285937432281.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.720.280.959.667,1.957.279.877.272,165.174.678.366,71.017.163.743,12.062.183.780.423,15.975.936.459.471,1720280959667.0,1957279877272.0,165174678366.0,71017163743.0,12062183780423.0,15975936459471.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,6.388.712.239.174,1.803.209.637.311,145.706.083.355,106.519.024.222,10.700.758.057.774,19.144.905.041.836,6388712239174.0,1803209637311.0,145706083355.0,106519024222.0,10700758057774.0,19144905041836.0
