row_label_raw,row_label_full,col_0,2023,2023_1,2022,2022_1,numeric__2023,numeric__2023_1,numeric__2022,numeric__2022_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,1.694.417.707.278,-,2.143.183.034.995,-,1694417707278.0,,2143183034995.0,
"Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế",786.762.627.706,(125.330.102.348),758.149.103.437,(82.895.543.999),786762627706.0,-125330102348.0,758149103437.0,-82895543999.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,265.617.308.193,-,270.955.348.957,-,265617308193.0,,270955348957.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",46.504.569.738,-,38.958.730.158,-,46504569738.0,,38958730158.0,
Chi phí SXKD dở dang,Chi phí SXKD dở dang,Chi phí SXKD dở dang,22.660.429.595,-,1.828.372.427,-,22660429595.0,,1828372427.0,
Thành phẩm,Thành phẩm,Thành phẩm,113.925.487.914,-,156.146.840.925,-,113925487914.0,,156146840925.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.090.260.917.783,-,741.501.719.100,-,1090260917783.0,,741501719100.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,49.725.479.887,-,74.614.199.643,-,49725479887.0,,74614199643.0,
,,,4.069.874.528.094,(125.330.102.348),4.185.337.349.642,(82.895.543.999),4069874528094.0,-125330102348.0,4185337349642.0,-82895543999.0
