row_label_raw,row_label_full,(b),Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước_1,Thuế và các khoản phải thu Nhà nước_2,numeric__Thuế và các khoản phải thu Nhà nước,numeric__Thuế và các khoản phải thu Nhà nước_1,numeric__Thuế và các khoản phải thu Nhà nước_2
(b),(b),(b),Thuế TNDN nộp dư,15.100.723.910,20.212.358.049,,15100723910.0,20212358049.0
(b),(b),(b),Thuế nhập khẩu,19.570.129.410,16.782.214.832,,19570129410.0,16782214832.0
(b),(b),(b),Thuế GTGT,10.839.320.648,12.202.759.059,,10839320648.0,12202759059.0
(b),(b),(b),Khác,543.707.062,14.734.788,,543707062.0,14734788.0
,,,,46.053.881.030,49.212.066.728,,46053881030.0,49212066728.0
