row_label_raw,row_label_full,Công ty mẹ,Công ty mẹ_1,Công ty mẹ_2,numeric__Công ty mẹ_1,numeric__Công ty mẹ_2
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,21.683.988.941.057,22.480.080.144.812,21683988941057.0,22480080144812.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,-,18.096.746.442,,18096746442.0
Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,,
Công ty Cổ phần Lộc hóa dầu Bình Sơn,Các công ty thành viên thuộc Tập đoàn > Công ty Cổ phần Lộc hóa dầu Bình Sơn,Công ty Cổ phần Lộc hóa dầu Bình Sơn,4.950.329.470.301,6.119.028.180.986,4950329470301.0,6119028180986.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,1.113.133.688.364,1.182.513.634.379,1113133688364.0,1182513634379.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,586.580.301.009,628.261.258.904,586580301009.0,628261258904.0
Liên doanh Việt - Nga Vietsovpetro,Các công ty thành viên thuộc Tập đoàn > Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,499.114.650.787,857.095.565.385,499114650787.0,857095565385.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,475.093.103.443,491.097.816.546,475093103443.0,491097816546.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,162.331.246.840,111.745.329.766,162331246840.0,111745329766.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,64.179.928.286,59.479.767.582,64179928286.0,59479767582.0
Trường Cao đẳng nghề Dầu khí,Các công ty thành viên thuộc Tập đoàn > Trường Cao đẳng nghề Dầu khí,Trường Cao đẳng nghề Dầu khí,38.248.153.000,38.731.392.000,38248153000.0,38731392000.0
Tổng Công ty Dầu Việt Nam - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,23.968.972.141,25.718.264.800,23968972141.0,25718264800.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,23.062.767.685,20.229.764.564,23062767685.0,20229764564.0
Viện Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,11.641.284.826,3.097.626.517,11641284826.0,3097626517.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,11.527.849.600,6.386.422.706,11527849600.0,6386422706.0
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,5.917.073.239,23.976.877.698,5917073239.0,23976877698.0
