row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2022,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Vốn khác của chủ sở hữu VND > 196.658.562.648,Quỹ đầu tư phát triển VND > 21.053.839.680.240,Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,LNST chưa phân phối lũy kế của các năm trước VND > 1.959.966.685.399,LNST chưa phân phối năm nay VND > 8.527.325.584.617,Lợi ích cổ đông không kiểm soát VND > 1.098.473.302.816,Tổng cộng VND > 52.192.730.675.130,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Vốn khác của chủ sở hữu VND > 196.658.562.648,numeric__Quỹ đầu tư phát triển VND > 21.053.839.680.240,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 1.959.966.685.399,numeric__LNST chưa phân phối năm nay VND > 8.527.325.584.617,numeric__Lợi ích cổ đông không kiểm soát VND > 1.098.473.302.816,numeric__Tổng cộng VND > 52.192.730.675.130
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,8.527.325.584.617,(8.527.325.584.617),-,-,,,,,,8527325584617.0,-8527325584617.0,,
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,-,-,-,-,-,-,-,118.345.978.175,118.345.978.175,,,,,,,,118345978175.0,118345978175.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,14.798.317.219.715,268.075.069.713,15.066.392.289.428,,,,,,,14798317219715.0,268075069713.0,15066392289428.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,9.217.047.015,-,(9.217.047.015),-,-,-,,,,9217047015.0,,-9217047015.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,-,(164.052.303.612),(158.705.668.260),(19.157.957.104),(341.915.928.976),,,,,,-164052303612.0,-158705668260.0,-19157957104.0,-341915928976.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(5.741.850.000.000),-,(140.463.058.641),(5.882.313.058.641),,,,,,-5741850000000.0,,-140463058641.0,-5882313058641.0
Khác,Khác,Khác,-,-,-,-,-,29.708.039.772,-,(9.384.439.747),20.323.600.025,,,,,,29708039772.0,,-9384439747.0,20323600025.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,19.139.500.000.000,210.679.541.297,196.658.562.648,21.063.056.727.255,6.287.318.113,4.601.880.959.161,14.639.611.551.455,1.315.888.895.212,61.173.563.555.141,19139500000000.0,210679541297.0,196658562648.0,21063056727255.0,6287318113.0,4601880959161.0,14639611551455.0,1315888895212.0,61173563555141.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,14.639.611.551.455,(14.639.611.551.455),-,-,,,,,,14639611551455.0,-14639611551455.0,,
Vốn tăng trong năm (i),Vốn tăng trong năm (i),Vốn tăng trong năm (i),3.827.898.470.000,(210.432.814.031),-,(3.617.465.655.969),-,-,-,-,-,3827898470000.0,-210432814031.0,,-3617465655969.0,,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,11.606.030.646.959,187.064.832.584,11.793.095.479.543,,,,,,,11606030646959.0,187064832584.0,11793095479543.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,6.552.787.572.834,-,(6.552.787.572.834),-,-,-,,,,6552787572834.0,,-6552787572834.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (ii)",-,-,-,-,-,(216.395.153.521),(187.396.633.794),(23.263.393.397),(427.055.180.712),,,,,,-216395153521.0,-187396633794.0,-23263393397.0,-427055180712.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,(6.890.220.000.000),-,(229.560.163.201),(7.119.780.163.201),,,,,,-6890220000000.0,,-229560163201.0,-7119780163201.0
Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,-,-,(5.140.265.563),5.140.265.563,-,-,-,-,-,,,-5140265563.0,5140265563.0,,,,,
Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,-,-,-,6.287.318.113,(6.287.318.113),-,-,-,-,,,,6287318113.0,-6287318113.0,,,,
Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,-,-,90.804.559.389,(90.804.559.389),-,-,-,-,-,,,90804559389.0,-90804559389.0,,,,,
Khác,Khác,Khác,-,-,-,-,-,(120.962.709.398),-,(240.706.980),(121.203.416.378),,,,,,-120962709398.0,,-240706980.0,-121203416378.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,22.967.398.470.000,246.727.266,282.322.856.474,23.919.001.668.407,-,5.461.127.074.863,11.418.634.013.165,1.249.889.464.218,65.298.620.274.393,22967398470000.0,246727266.0,282322856474.0,23919001668407.0,,5461127074863.0,11418634013165.0,1249889464218.0,65298620274393.0
