row_label_raw,row_label_full,Giấy chứng nhận đăng ký doanh nghiệp > Hội đồng Quản trị,Số 3500102710 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 13 tháng 12 năm 2007 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 20 ngày 12 tháng 12 năm 2023. > Ông Nguyễn Thanh Bình > Ông Dương Mạnh Sơn,Số 3500102710 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 13 tháng 12 năm 2007 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 20 ngày 12 tháng 12 năm 2023. > Chữ tịch(từ ngày 25 tháng 5 năm 2023) > Chữ tịch(đến ngày 25 tháng 5 năm 2023),numeric__Số 3500102710 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 13 tháng 12 năm 2007 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 20 ngày 12 tháng 12 năm 2023. > Ông Nguyễn Thanh Bình > Ông Dương Mạnh Sơn,numeric__Số 3500102710 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 13 tháng 12 năm 2007 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 20 ngày 12 tháng 12 năm 2023. > Chữ tịch(từ ngày 25 tháng 5 năm 2023) > Chữ tịch(đến ngày 25 tháng 5 năm 2023)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Võ Thị Thanh Ngọc,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Đỗ Đông Nguyên,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Trương Hồng Sơn,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Triệu Quốc Tuấn,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phạm Văn Phong,Thành viên(từ ngày 25 tháng 5 năm 2023),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Hoàng Văn Quang,Thành viên(đến ngày 25 tháng 5 năm 2023),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Bà Trần Thị Hoàng Anh,Trường ban,,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ông Nguyễn Công Minh,Kiểm soát viên,,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Bà Nguyễn Thị Kim Yến,Kiểm soát viên,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Phạm Văn Phong,Tổng Giám đốc(từ ngày 25 tháng 5 năm 2023)Phó Tổng Giám đốc(đến ngày 25 tháng 5 năm 2023),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Hoàng Văn Quang,Tổng Giám đốc(đến ngày 25 tháng 5 năm 2023),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Huỳnh Quang Hải,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Trần Nhật Huy,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Công Luận,Phó Tổng Giám đốc(từ ngày 1 tháng 2 năm 2024),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Phúc Tuệ,Phó Tổng Giám đốc(từ ngày 1 tháng 2 năm 2024),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Hoàng Trọng Dũng,Phó Tổng Giám đốc(từ ngày 20 tháng 11 năm 2023),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Phạm Đăng Nam,Phó Tổng Giám đốc(đến ngày 1 tháng 1 năm 2024),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Thanh Bình,Phó Tổng Giám đốc(đến ngày 25 tháng 5 năm 2023),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Phạm Văn Phong,Tổng Giám đốc(từ ngày 25 tháng 5 năm 2023),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Hoàng Văn Quang,Tổng Giám đốc(đến ngày 25 tháng 5 năm 2023),,
Trụ sở chính,Trụ sở chính,Trụ sở chính,"Tòa nhà PV Gas Tower, Số 673 Đường Nguyễn Hữu Thọ,Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh","Tòa nhà PV Gas Tower, Số 673 Đường Nguyễn Hữu Thọ,Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh",,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH PwC (Việt Nam),Công ty TNHH PwC (Việt Nam),,
