row_label_raw,row_label_full,Trần Thị Hoàng Anh - Trường ban,1.666.631.390,1.498.631.174,numeric__1.666.631.390,numeric__1.498.631.174
Nguyễn Công Minh - Kiểm soát viên,Nguyễn Công Minh - Kiểm soát viên,Nguyễn Công Minh - Kiểm soát viên,1.500.398.921,1.353.374.554,1500398921.0,1353374554.0
Nguyễn Thị Kim Yến - Kiểm soát viên,Nguyễn Thị Kim Yến - Kiểm soát viên,Nguyễn Thị Kim Yến - Kiểm soát viên,1.358.339.775,1.130.355.746,1358339775.0,1130355746.0
