row_label_raw,row_label_full,col_0,Số liệu báo cáotrước đây,Điều chỉnh,Số liệutrình bày lại,numeric__Số liệu báo cáotrước đây,numeric__Điều chỉnh,numeric__Số liệutrình bày lại
Lợi nhuận thuần phân bổ chocác cổ đông (VND),Lợi nhuận thuần phân bổ chocác cổ đông (VND),Lợi nhuận thuần phân bổ chocác cổ đông (VND),14.798.317.219.715,-,14.798.317.219.715,14798317219715.0,,14798317219715.0
"Điều chỉnh giảm số trích quỹ khenthường, phúc lợi (VND)","Điều chỉnh giảm số trích quỹ khenthường, phúc lợi (VND)","Điều chỉnh giảm số trích quỹ khenthường, phúc lợi (VND)",(158.705.668.260),(216.395.153.521),(375.100.821.781),-158705668260.0,-216395153521.0,-375100821781.0
,,,14.639.611.551.455,(216.395.153.521),14.423.216.397.934,14639611551455.0,-216395153521.0,14423216397934.0
Bình quân số cổ phiếu phổ thôngđang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thôngđang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thôngđang lưu hành (cổ phiếu),1.913.950.000,382.789.847,2.296.739.847,1913950000.0,382789847.0,2296739847.0
Lãi cơ bản trên mỗi cổ phiếu(VND),Lãi cơ bản trên mỗi cổ phiếu(VND),Lãi cơ bản trên mỗi cổ phiếu(VND),7.649,(1.369),6.280,7649.0,-1369.0,6280.0
