row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,TăngVND,Nợ dài hạnđến hạn trảVND,GiảmVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__TăngVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__GiảmVND,numeric__Tại ngày31.12.2023VND
Vay ngân hàng dài hạn,Vay ngân hàng dài hạn,Vay ngân hàng dài hạn,6.037.962.890.208,1.975.499.724.831,(1.915.958.147.758),(1.827.002.745.341),4.270.501.721.940,6037962890208.0,1975499724831.0,-1915958147758.0,-1827002745341.0,4270501721940.0
Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau:,,,,,
,,,Tại ngày 31.12.2023VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất(/năm),Tài sản thế chấp,,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,804.469.562.462,Trả trước cho khoản vay tạingân hàng nước ngoài,Đến ngày 14 tháng 6 năm 2027,(i),TSCĐ(Thuyết minh 11),804469562462.0,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,804.469.562.462,"Trả trước cho khoản vay tại Ngânhàng Thương mại Taipei Fubonvà mua sắm, xây dựng TSCĐ",Đến ngày 29 tháng 12 năm 2029,(i),TSCĐ(Thuyết minh 11),804469562462.0,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,798.685.104.831,"Mua sắm, xây dựng TSCĐ",Đến ngày 2 tháng 10 năm 2030,(ii),Tín chấp,798685104831.0,,,,
Ngân hàng TMCP Đông Nam Á,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,767.708.233.673,"Mua sắm, xây dựng TSCĐ",Đến ngày 27 tháng 4 năm 2030,(iii),Tín chấp,767708233673.0,,,,
Ngân hàng Thương mại Taipei Fubon,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Thương mại Taipei Fubon,Ngân hàng Thương mại Taipei Fubon,705.572.769.098,"Mua sắm, xây dựng TSCĐ",Đến ngày 18 tháng 6 năm 2027,(iii),Tín chấp,705572769098.0,,,,
"Ngân hàng Mizuho Bank, Ltd","Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng Mizuho Bank, Ltd","Ngân hàng Mizuho Bank, Ltd",470.758.786.680,"Mua sắm, xây dựng TSCĐ",Đến ngày 20 tháng 11 năm 2028,(ii),Tín chấp,470758786680.0,,,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,407.070.081.782,"Mua sắm, xây dựng TSCĐ",Đến ngày 30 tháng 12 năm 2030,(ii),Tín chấp,407070081782.0,,,,
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,248.746.606.435,"Mua sắm, xây dựng TSCĐ",Đến ngày 10 tháng 6 năm 2026,(iv),Tín chấp,248746606435.0,,,,
Ngân hàng TMCP Hàng Hải Việt Nam,Chi tiết số dư các khoản vay ngân hàng dài hạn như sau: > Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,67.490.576.979,"Mua sắm, xây dựng TSCĐ",,,,67490576979.0,,,,
,,,4.270.501.721.940,,,,,4270501721940.0,,,,
