row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,44.370.815.348.548,29.842.471.063.854,,100.0,,44370815348548.0,29842471063854.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,16.314.076.389.628,12.766.884.570.949,,110.0,4.0,16314076389628.0,12766884570949.0
1.,1.,1.,Tiền,111,,379.446.694.119,283.254.875.440,,111.0,,379446694119.0,283254875440.0
2.,2.,2.,Các khoản tương đương tiền,112,,15.934.629.695.509,12.483.629.695.509,,112.0,,15934629695509.0,12483629695509.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,4.102.000.000.000,902.000.000.000,,120.0,5.0,4102000000000.0,902000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,4.102.000.000.000,902.000.000.000,,123.0,,4102000000000.0,902000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,13.581.458.012.553,7.772.144.533.109,,130.0,,13581458012553.0,7772144533109.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,13.285.556.257.331,7.647.434.093.543,,131.0,6.0,13285556257331.0,7647434093543.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,202.613.178.027,69.418.576.921,,132.0,7.0,202613178027.0,69418576921.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,93.287.341.562,55.290.627.012,,136.0,8.0,93287341562.0,55290627012.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,1.235.633,1.235.633,,139.0,,1235633.0,1235633.0
IV.,IV.,IV.,Hàng tồn kho,140,9,10.327.761.081.569,8.360.188.031.858,,140.0,9.0,10327761081569.0,8360188031858.0
1.,1.,1.,Hàng tồn kho,141,,10.344.475.433.705,8.380.560.084.372,,141.0,,10344475433705.0,8380560084372.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(16.714.352.136),(20.372.052.514),,149.0,,-16714352136.0,-20372052514.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,45.519.864.798,41.253.927.938,,150.0,,45519864798.0,41253927938.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,43.208.090.346,38.335.477.061,,151.0,10.0,43208090346.0,38335477061.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,13,2.311.774.452,2.918.450.877,,153.0,13.0,2311774452.0,2918450877.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,21.105.329.415.689,24.666.791.177.638,,200.0,,21105329415689.0,24666791177638.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,535.894.758.986,540.500.627.486,,210.0,,535894758986.0,540500627486.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,533.509.547.749,533.509.547.749,,212.0,7.0,533509547749.0,533509547749.0
2.,2.,2.,Phải thu về cho vay dài hạn,215,,2.385.211.237,6.991.079.737,,215.0,,2385211237.0,6991079737.0
II.,II.,II.,Tài sản cố định,220,,18.848.617.692.710,21.003.033.310.289,,220.0,,18848617692710.0,21003033310289.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,18.630.593.116.696,20.720.336.149.899,,221.0,11.0,18630593116696.0,20720336149899.0
,,,- Nguyên giá,222,,45.461.189.139.974,45.397.016.558.929,,222.0,,45461189139974.0,45397016558929.0
,,,- Giá trị hao mòn lũy kế,223,,(26.830.596.023.278),(24.676.680.409.030),,223.0,,-26830596023278.0,-24676680409030.0
2.,2.,2.,Tài sản cố định vô hình,227,12,218.024.576.014,282.697.160.390,,227.0,12.0,218024576014.0,282697160390.0
,,,- Nguyên giá,228,,816.009.076.122,810.748.040.722,,228.0,,816009076122.0,810748040722.0
,,,- Giá trị hao mòn lũy kế,229,,(597.984.500.108),(528.050.880.332),,229.0,,-597984500108.0,-528050880332.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.203.497.621.287,1.098.223.081.111,,240.0,,1203497621287.0,1098223081111.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.203.497.621.287,1.098.223.081.111,,242.0,14.0,1203497621287.0,1098223081111.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,155.872.452.929,155.869.107.468,,250.0,5.0,155872452929.0,155869107468.0
1.,1.,1.,Đầu tư vào công ty con,251,,351.664.874.292,351.664.874.292,,251.0,,351664874292.0,351664874292.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,11.244.000.000,11.244.000.000,,253.0,,11244000000.0,11244000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(207.036.421.363),(207.039.766.824),,254.0,,-207036421363.0,-207039766824.0
V.,V.,V.,Tài sản dài hạn khác,260,,361.446.889.777,1.869.165.051.284,,260.0,,361446889777.0,1869165051284.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,315.817.867.101,1.869.165.051.284,,261.0,10.0,315817867101.0,1869165051284.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,33,45.629.022.676,-,,262.0,33.0,45629022676.0,
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,65.476.144.764.237,54.509.262.241.492,,270.0,,65476144764237.0,54509262241492.0
