row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,"Phương tiện vận tải,thiết bị truyền dẫnVND",Thiết bịvăn phòngVND,KhácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,"numeric__Phương tiện vận tải,thiết bị truyền dẫnVND",numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.408.287.304.619,38.272.018.833.691,154.315.549.584,561.840.203.123,554.667.912,45.397.016.558.929,6408287304619.0,38272018833691.0,154315549584.0,561840203123.0,554667912.0,45397016558929.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,41.035.252.017,13.360.493.180,5.873.857.715,-,60.269.602.912,,41035252017.0,13360493180.0,5873857715.0,,60269602912.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,5.154.603.046,-,-,-,-,5.154.603.046,5154603046.0,,,,,5154603046.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(408.800.000),(842.824.913),-,(1.251.624.913),,,-408800000.0,-842824913.0,,-1251624913.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.413.441.907.665,38.313.054.085.708,167.267.242.764,566.871.235.925,554.667.912,45.461.189.139.974,6413441907665.0,38313054085708.0,167267242764.0,566871235925.0,554667912.0,45461189139974.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.925.640.912.547,21.228.532.352.949,106.189.308.190,415.795.834.081,522.001.263,24.676.680.409.030,2925640912547.0,21228532352949.0,106189308190.0,415795834081.0,522001263.0,24676680409030.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,201.173.671.646,1.866.880.779.757,9.470.993.471,76.931.441.529,18.666.672,2.154.475.553.075,201173671646.0,1866880779757.0,9470993471.0,76931441529.0,18666672.0,2154475553075.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,17.294.000,460.036.680,-,214.355.406,-,691.686.086,17294000.0,460036680.0,,214355406.0,,691686086.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(408.800.000),(842.824.913),-,(1.251.624.913),,,-408800000.0,-842824913.0,,-1251624913.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.126.831.878.193,23.095.873.169.386,115.251.501.661,492.098.806.103,540.667.935,26.830.596.023.278,3126831878193.0,23095873169386.0,115251501661.0,492098806103.0,540667935.0,26830596023278.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.482.646.392.072,17.043.486.480.742,48.126.241.394,146.044.369.042,32.666.649,20.720.336.149.899,3482646392072.0,17043486480742.0,48126241394.0,146044369042.0,32666649.0,20720336149899.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.286.610.029.472,15.217.180.916.322,52.015.741.103,74.772.429.822,13.999.977,18.630.593.116.696,3286610029472.0,15217180916322.0,52015741103.0,74772429822.0,13999977.0,18630593116696.0
