row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,4.798.374.780.000,4.798.374.780.000,-,1.969.008.700.000,2.829.366.080.000,2.829.366.080.000,4798374780000.0,4798374780000.0,,1969008700000.0,2829366080000.0,2829366080000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,4.798.374.780.000,4.798.374.780.000,-,1.969.008.700.000,2.829.366.080.000,2.829.366.080.000,4798374780000.0,4798374780000.0,,1969008700000.0,2829366080000.0,2829366080000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,1.919.644.760.000,,,,1.886.727.040.000,,1919644760000.0,,,,1886727040000.0,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,2.878.730.020.000,,,,942.639.040.000,,2878730020000.0,,,,942639040000.0,
Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Vay dài hạn > Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,2.829.366.080.000,1.886.727.040.000,942.639.040.000,4.798.374.780.000,1.919.644.760.000,2.878.730.020.000,2829366080000.0,1886727040000.0,942639040000.0,4798374780000.0,1919644760000.0,2878730020000.0
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Vay dài hạn > Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,2.829.366.080.000,1.886.727.040.000,942.639.040.000,4.798.374.780.000,1.919.644.760.000,2.878.730.020.000,2829366080000.0,1886727040000.0,942639040000.0,4798374780000.0,1919644760000.0,2878730020000.0
