row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Tài sản cố địnhvô hình khác,Tổng,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Tài sản cố địnhvô hình khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,438.606.719.617,339.438.148.600,32.703.172.505,810.748.040.722,438606719617.0,339438148600.0,32703172505.0,810748040722.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,5.261.035.400,-,5.261.035.400,,5261035400.0,,5261035400.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,438.606.719.617,344.699.184.000,32.703.172.505,816.009.076.122,438606719617.0,344699184000.0,32703172505.0,816009076122.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,292.965.821.335,206.927.427.781,28.157.631.216,528.050.880.332,292965821335.0,206927427781.0,28157631216.0,528050880332.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,15.475.294.980,53.061.087.816,479.563.620,69.015.946.416,15475294980.0,53061087816.0,479563620.0,69015946416.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,917.673.360,-,917.673.360,,917673360.0,,917673360.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,308.441.116.315,260.906.188.957,28.637.194.836,597.984.500.108,308441116315.0,260906188957.0,28637194836.0,597984500108.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,145.640.898.282,132.510.720.819,4.545.541.289,282.697.160.390,145640898282.0,132510720819.0,4545541289.0,282697160390.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,130.165.603.302,83.792.995.043,4.065.977.669,218.024.576.014,130165603302.0,83792995043.0,4065977669.0,218024576014.0
