row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Công ty Liên doanh điều hànhCửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hànhCửu Long,Công ty Liên doanh điều hànhCửu Long,1.518.204.462.877,1.518.204.462.877,1.090.409.294.550,1.090.409.294.550,1518204462877.0,1518204462877.0,1090409294550.0,1090409294550.0
"Vitol Asia Pte. Ltd.,","a. Các khoản phải trả người bán ngắn hạn > Vitol Asia Pte. Ltd.,","Vitol Asia Pte. Ltd.,",1.321.967.983.680,1.321.967.983.680,317.805.955.066,317.805.955.066,1321967983680.0,1321967983680.0,317805955066.0,317805955066.0
Công ty Điều hành chungHoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chungHoàng Long,Công ty Điều hành chungHoàng Long,979.173.722.187,979.173.722.187,227.776.301.765,227.776.301.765,979173722187.0,979173722187.0,227776301765.0,227776301765.0
Công ty Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty Dầu khí Việt Nhật,Công ty Dầu khí Việt Nhật,721.253.890.334,721.253.890.334,23.755.332.894,23.755.332.894,721253890334.0,721253890334.0,23755332894.0,23755332894.0
Công ty Điều hành chungThăng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chungThăng Long,Công ty Điều hành chungThăng Long,153.306.529.836,153.306.529.836,142.515.541.416,142.515.541.416,153306529836.0,153306529836.0,142515541416.0,142515541416.0
Shell International Eastern Trading Company,a. Các khoản phải trả người bán ngắn hạn > Shell International Eastern Trading Company,Shell International Eastern Trading Company,44.035.706,44.035.706,822.056.487.659,822.056.487.659,44035706.0,44035706.0,822056487659.0,822056487659.0
"Socar Trading Singapore Pte.Ltd.,","a. Các khoản phải trả người bán ngắn hạn > Socar Trading Singapore Pte.Ltd.,","Socar Trading Singapore Pte.Ltd.,",18.678.000,18.678.000,1.254.592.557.174,1.254.592.557.174,18678000.0,18678000.0,1254592557174.0,1254592557174.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,312.216.597.014,312.216.597.014,522.473.981.828,522.473.981.828,312216597014.0,312216597014.0,522473981828.0,522473981828.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minhsố 35),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minhsố 35),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minhsố 35),4.449.989.177.195,4.449.989.177.195,2.613.164.706.530,2.613.164.706.530,4449989177195.0,4449989177195.0,2613164706530.0,2613164706530.0
,,,9.456.175.076.829,9.456.175.076.829,7.014.550.158.882,7.014.550.158.882,9456175076829.0,9456175076829.0,7014550158882.0,7014550158882.0
