row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,LNST chưa phân phối,Vốn khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Quỹ đầu tư phát triển,numeric__LNST chưa phân phối,numeric__Vốn khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.547.302.470.000,70.045.649.714,-,886.852.413,222.990.534.408,80.481.887.391,1.076.170.135.698,3.997.877.529.624,2547302470000.0,70045649714.0,,886852413.0,222990534408.0,80481887391.0,1076170135698.0,3997877529624.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,296.307.922,-,(9.610.005.651),(9.313.697.729),,,,,296307922.0,,-9610005651.0,-9313697729.0
Giảm do hợp nhất DCL,Giảm do hợp nhất DCL,Giảm do hợp nhất DCL,-,-,-,-,-,-,(175.050.000),(175.050.000),,,,,,,-175050000.0,-175050000.0
Giảm do hợp nhất TSC,Giảm do hợp nhất TSC,Giảm do hợp nhất TSC,-,-,-,-,(2.102.871.738),-,(1.655.393.855),(3.758.265.593),,,,,-2102871738.0,,-1655393855.0,-3758265593.0
Giảm do mua thêm tỷ lệ DCL,Giảm do mua thêm tỷ lệ DCL,Giảm do mua thêm tỷ lệ DCL,,,,,(6.899.797.896),,(29.226.752.272),(36.126.550.168),,,,,-6899797896.0,,-29226752272.0,-36126550168.0
Tăng do phát hành trái phiếu chuyển đổi,Tăng do phát hành trái phiếu chuyển đổi,Tăng do phát hành trái phiếu chuyển đổi,-,-,22.368.782.096,-,-,-,9.096.659.030,31.465.441.126,,,22368782096.0,,,,9096659030.0,31465441126.0
Chia cỏ tức trong năm,Chia cỏ tức trong năm,Chia cỏ tức trong năm,-,-,-,-,-,-,(7.215.104.000),(7.215.104.000),,,,,,,-7215104000.0,-7215104000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(3.053.555.717),-,(901.915.899),(3.955.471.616),,,,,-3053555717.0,,-901915899.0,-3955471616.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(116.164.449),-,(55.889.276),(172.053.725),,,,,-116164449.0,,-55889276.0,-172053725.0
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.547.302.470.000,70.045.649.714,22.368.782.096,886.852.413,211.114.452.530,80.481.887.391,1.036.426.683.774,3.968.626.777.918,2547302470000.0,70045649714.0,22368782096.0,886852413.0,211114452530.0,80481887391.0,1036426683774.0,3968626777918.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,70.228.235.920,-,21.848.121.815,92.076.357.735,,,,,70228235920.0,,21848121815.0,92076357735.0
Giảm lợi ích cổ đông không kiểm soát của DCL do thoái vốn Công ty con,Giảm lợi ích cổ đông không kiểm soát của DCL do thoái vốn Công ty con,Giảm lợi ích cổ đông không kiểm soát của DCL do thoái vốn Công ty con,-,-,-,-,-,-,(7.507.791.746),(7.507.791.746),,,,,,,-7507791746.0,-7507791746.0
Giảm lợi ích cổ đông không kiểm soát của TSC,Giảm lợi ích cổ đông không kiểm soát của TSC,Giảm lợi ích cổ đông không kiểm soát của TSC,-,-,-,-,(869.268.164),-,(1.006.358.543),(1.875.626.707),,,,,-869268164.0,,-1006358543.0,-1875626707.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,(82.070.315),-,(117.929.685),(200.000.000),,,,,-82070315.0,,-117929685.0,-200000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(4.446.833.198),-,(2.564.212),(4.449.397.410),,,,,-4446833198.0,,-2564212.0,-4449397410.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.547.302.470.000,70.045.649.714,22.368.782.096,886.852.413,275.944.516.773,80.481.887.391,1.049.640.161.403,4.046.670.319.790,2547302470000.0,70045649714.0,22368782096.0,886852413.0,275944516773.0,80481887391.0,1049640161403.0,4046670319790.0
