row_label_raw,row_label_full,col_0,Số cuối năm,Số đã thực nộp trong năm,Số phải nộp trong năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đã thực nộp trong năm,numeric__Số phải nộp trong năm,numeric__Số đầu năm
,,,VND,VND,VND,VND,,,,
Phải nộp,Phải nộp,Phải nộp,19.387.822.829,40.159.610.922,53.119.685.292,6.427.748.459,19387822829.0,40159610922.0,53119685292.0,6427748459.0
- Thuế GTGT,- Thuế GTGT,- Thuế GTGT,407.604.905,15.792.414.388,15.799.771.271,400.248.022,407604905.0,15792414388.0,15799771271.0,400248022.0
- Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,169.354.646,10.710.706,180.065.352,-,169354646.0,10710706.0,180065352.0,
- Thuế TNDN,- Thuế TNDN,- Thuế TNDN,18.148.673.352,11.239.714.628,24.148.894.985,5.239.492.995,18148673352.0,11239714628.0,24148894985.0,5239492995.0
- Thuế Tài nguyên,- Thuế Tài nguyên,- Thuế Tài nguyên,-,54.331.360,54.331.360,-,,54331360.0,54331360.0,
- Tiền thuê đất. Thuế nhà đất,- Tiền thuê đất. Thuế nhà đất,- Tiền thuê đất. Thuế nhà đất,1.000.000,1.911.323.301,1.912.323.301,-,1000000.0,1911323301.0,1912323301.0,
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,661.189.926,5.910.824.795,5.785.768.129,786.246.592,661189926.0,5910824795.0,5785768129.0,786246592.0
"- Thuế, phí khác","- Thuế, phí khác","- Thuế, phí khác",-,5.240.291.744,5.238.530.894,1.760.850,,5240291744.0,5238530894.0,1760850.0
