row_label_raw,row_label_full,Tại ngày đầu năm,Miền BắcSố đầu năm > VND,Miền NamSố đầu năm > VND,Loại trừSố đầu năm > VND,Tổng cộngSố đầu năm > VND,numeric__Miền BắcSố đầu năm > VND,numeric__Miền NamSố đầu năm > VND,numeric__Loại trừSố đầu năm > VND,numeric__Tổng cộngSố đầu năm > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,3.266.880.186.508,3.750.568.131.542,(1.820.156.520.857),5.197.291.797.193,3266880186508.0,3750568131542.0,-1820156520857.0,5197291797193.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,5.197.291.797.193,,,,5197291797193.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,167.329.691.099,1.123.431.768.312,(62.096.440.136),1.228.665.019.275,167329691099.0,1123431768312.0,-62096440136.0,1228665019275.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,1.228.665.019.275,,,,1228665019275.0
Năm trước (Trình bày lại),Năm trước (Trình bày lại),Năm trước (Trình bày lại),Miền BắcVND,Miền NamVND,Loại trừVND,Tổng cộngVND,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,14.029.024.105,1.582.568.802.728,-,1.596.597.826.833,14029024105.0,1582568802728.0,,1596597826833.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,9.498.325.625,-,(9.498.325.625),-,9498325625.0,,-9498325625.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,23.527.349.730,1.582.568.802.728,(9.498.325.625),1.596.597.826.833,23527349730.0,1582568802728.0,-9498325625.0,1596597826833.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Giá vốn,Kết quả hoạt động kinh doanh > Giá vốn,Giá vốn,12.417.938.321,1.261.143.137.808,(5.053.625.295),1.268.507.450.834,12417938321.0,1261143137808.0,-5053625295.0,1268507450834.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,11.109.411.409,321.425.664.920,(4.444.700.330),328.090.375.999,11109411409.0,321425664920.0,-4444700330.0,328090375999.0
Lãi (lỗ) từ công ty liên doanh liên kết,Kết quả hoạt động kinh doanh > Lãi (lỗ) từ công ty liên doanh liên kết,Lãi (lỗ) từ công ty liên doanh liên kết,864.155.130,(18.899.749.197),-,(18.035.594.067),864155130.0,-18899749197.0,,-18035594067.0
Chi phí bán hàng và chi phí quản lý,Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý,Chi phí bán hàng và chi phí quản lý,29.692.755.734,321.232.189.792,14.605.023.713,365.529.969.239,29692755734.0,321232189792.0,14605023713.0,365529969239.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,172.736.678,105.704.866,(11.090.911),267.350.633,172736678.0,105704866.0,-11090911.0,267350633.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,117.269.895.470,62.385.733.058,(30.576.712.489),149.078.916.039,117269895470.0,62385733058.0,-30576712489.0,149078916039.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,43.861.489.433,53.067.773.772,(9.375.404.489),87.553.858.716,43861489433.0,53067773772.0,-9375404489.0,87553858716.0
Thu nhập từ hoạt động tài chính,Kết quả hoạt động kinh doanh > Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,73.408.406.037,9.317.959.286,(21.201.308.000),61.525.057.323,73408406037.0,9317959286.0,-21201308000.0,61525057323.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,55.861.953.520,(9.282.609.917),(40.262.122.954),6.317.220.649,55861953520.0,-9282609917.0,-40262122954.0,6317220649.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,6.876.187.755,9.774.524.912,-,16.650.712.667,6876187755.0,9774524912.0,,16650712667.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-,(1.019.794.289),-,(1.019.794.289),,-1019794289.0,,-1019794289.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,48.985.765.765,(18.037.340.540),(40.262.122.954),(9.313.697.729),48985765765.0,-18037340540.0,-40262122954.0,-9313697729.0
