row_label_raw,row_label_full,col_0,Cuối năm > Giá trị,Cuối năm > Số có khả năng trả nợ,Trong năm > Giám,Trong năm > Tăng,Đầu năm > Giá trị,Đầu năm > Số có khả năng trả nợ,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Giám,numeric__Trong năm > Tăng,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Số có khả năng trả nợ
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn > a) Vay ngắn hạn,a) Vay ngắn hạn,420.398.059.317,420.398.059.317,2.421.751.244.186,2.509.071.319.388,333.077.984.115,333.077.984.115,420398059317.0,420398059317.0,2421751244186.0,2509071319388.0,333077984115.0,333077984115.0
- Vay Ngân hàng,a) Vay ngắn hạn > - Vay Ngân hàng,- Vay Ngân hàng,388.900.384.367,388.900.384.367,2.355.176.319.148,2.467.366.866.938,276.709.836.577,276.709.836.577,388900384367.0,388900384367.0,2355176319148.0,2467366866938.0,276709836577.0,276709836577.0
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),a) Vay ngắn hạn > + Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),156.637.620.697,156.637.620.697,1.109.882.273.192,1.172.827.585.827,93.692.308.062,93.692.308.062,156637620697.0,156637620697.0,1109882273192.0,1172827585827.0,93692308062.0,93692308062.0
+ Ngân hàng TMCP Ngoại thương Việt Nam (ii),a) Vay ngắn hạn > + Ngân hàng TMCP Ngoại thương Việt Nam (ii),+ Ngân hàng TMCP Ngoại thương Việt Nam (ii),76.876.295.952,76.876.295.952,216.285.528.718,238.617.296.303,54.544.528.367,54.544.528.367,76876295952.0,76876295952.0,216285528718.0,238617296303.0,54544528367.0,54544528367.0
+ Ngân hàng TMCP Quản đội (iii),a) Vay ngắn hạn > + Ngân hàng TMCP Quản đội (iii),+ Ngân hàng TMCP Quản đội (iii),69.576.447.878,69.576.447.878,169.223.833.827,160.093.417.489,78.706.864.216,78.706.864.216,69576447878.0,69576447878.0,169223833827.0,160093417489.0,78706864216.0,78706864216.0
+ Ngân hàng TMCP Công thương Việt Nam (iv),a) Vay ngắn hạn > + Ngân hàng TMCP Công thương Việt Nam (iv),+ Ngân hàng TMCP Công thương Việt Nam (iv),27.996.549.161,27.996.549.161,101.919.859.931,80.150.273.160,49.766.135.932,49.766.135.932,27996549161.0,27996549161.0,101919859931.0,80150273160.0,49766135932.0,49766135932.0
+ Ngân hàng TMCP Việt Nam Thịnh Vương (v),a) Vay ngắn hạn > + Ngân hàng TMCP Việt Nam Thịnh Vương (v),+ Ngân hàng TMCP Việt Nam Thịnh Vương (v),52.813.470.679,52.813.470.679,757.836.223.480,810.649.694.159,-,-,52813470679.0,52813470679.0,757836223480.0,810649694159.0,,
+ Ngân hàng TNHH MTV Public Việt Nam (vi),a) Vay ngắn hạn > + Ngân hàng TNHH MTV Public Việt Nam (vi),+ Ngân hàng TNHH MTV Public Việt Nam (vi),5.000.000.000,5.000.000.000,28.600.000,5.028.600.000,-,-,5000000000.0,5000000000.0,28600000.0,5028600000.0,,
- Công ty CP Chứng khoán đại nam,a) Vay ngắn hạn > - Công ty CP Chứng khoán đại nam,- Công ty CP Chứng khoán đại nam,-,-,2.511.437.000,2.511.437.000,-,-,,,2511437000.0,2511437000.0,,
- Vay dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,31.497.674.950,31.497.674.950,64.063.488.038,39.193.015.450,56.368.147.538,56.368.147.538,31497674950.0,31497674950.0,64063488038.0,39193015450.0,56368147538.0,56368147538.0
b) Vay dài hạn,a) Vay ngắn hạn > b) Vay dài hạn,b) Vay dài hạn,71.343.610.529,71.343.610.529,135.339.339.664,28.038.060.142,178.644.890.051,178.644.890.051,71343610529.0,71343610529.0,135339339664.0,28038060142.0,178644890051.0,178644890051.0
- Vay ngân hàng,a) Vay ngắn hạn > - Vay ngân hàng,- Vay ngân hàng,71.343.610.529,71.343.610.529,135.339.339.664,28.038.060.142,178.644.890.051,178.644.890.051,71343610529.0,71343610529.0,135339339664.0,28038060142.0,178644890051.0,178644890051.0
- Ngân hàng TMCP Việt Nam Thịnh Vương (vii),a) Vay ngắn hạn > - Ngân hàng TMCP Việt Nam Thịnh Vương (vii),- Ngân hàng TMCP Việt Nam Thịnh Vương (vii),12.727.000.000,12.727.000.000,15.273.000.000,28.000.000.000,-,-,12727000000.0,12727000000.0,15273000000.0,28000000000.0,,
Ngân hàng TMCP Ngoại thương Việt Nam (viii),a) Vay ngắn hạn > Ngân hàng TMCP Ngoại thương Việt Nam (viii),Ngân hàng TMCP Ngoại thương Việt Nam (viii),58.616.610.529,58.616.610.529,26.716.374.674,38.060.142,85.294.925.061,85.294.925.061,58616610529.0,58616610529.0,26716374674.0,38060142.0,85294925061.0,85294925061.0
Ngân hàng TMCP Công thương Việt Nam,a) Vay ngắn hạn > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,-,-,66.466.124.000,-,66.466.124.000,66.466.124.000,,,66466124000.0,,66466124000.0,66466124000.0
Ngân hàng TMCP Đông Nam Á,a) Vay ngắn hạn > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,-,-,23.439.064.500,-,23.439.064.500,23.439.064.500,,,23439064500.0,,23439064500.0,23439064500.0
Ngân hàng TMCP Quân đội,a) Vay ngắn hạn > Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,-,-,3.444.776.490,-,3.444.776.490,3.444.776.490,,,3444776490.0,,3444776490.0,3444776490.0
