row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị tính: VND Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị tính: VND Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1,120.021.268.222,6.317.220.649,1.0,120021268222.0,6317220649.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
"- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại",2,79.408.549.472,79.419.689.981,2.0,79408549472.0,79419689981.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,3,21.116.000.662,38.405.095.100,3.0,21116000662.0,38405095100.0
"- Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",4,(330.968.558),11.140.206.758,4.0,-330968558.0,11140206758.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",5,(192.612.545.575),(113.499.372.799),5.0,-192612545575.0,-113499372799.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,6,45.776.820.026,55.144.707.653,6.0,45776820026.0,55144707653.0
- Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,7,39.848.900,-,7.0,39848900.0,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,8,73.418.973.148,76.927.547.342,8.0,73418973148.0,76927547342.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,9,(26.037.422.671),2.360.812.403,9.0,-26037422671.0,2360812403.0
- (Tăng)/giảm hàng tồn kho,2. Điều chỉnh cho các khoản > - (Tăng)/giảm hàng tồn kho,- (Tăng)/giảm hàng tồn kho,10,75.109.087.563,(53.877.724.630),10.0,75109087563.0,-53877724630.0
"- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,54.869.671.931,(9.580.809.749),11.0,54869671931.0,-9580809749.0
- (Tăng)/giảm chi phí trả trước,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chi phí trả trước,- (Tăng)/giảm chi phí trả trước,12,5.042.893.294,(5.842.995.050),12.0,5042893294.0,-5842995050.0
- (Tăng)/giảm chứng khoán kinh doanh,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chứng khoán kinh doanh,- (Tăng)/giảm chứng khoán kinh doanh,13,2.867.829.282,(51.908.318.516),13.0,2867829282.0,-51908318516.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(39.068.588.048),(55.860.883.705),14.0,-39068588048.0,-55860883705.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(11.239.714.628),(48.538.521.082),15.0,-11239714628.0,-48538521082.0
- Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,-,4.962.845.115,16.0,,4962845115.0
- Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,17,(6.259.993.607),(4.077.597.975),17.0,-6259993607.0,-4077597975.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,128.702.736.264,(145.435.645.847),20.0,128702736264.0,-145435645847.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,
"1. Tiền chi đề mua sắm, xây dựng TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 1. Tiền chi đề mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chi đề mua sắm, xây dựng TSCĐ và các TSDH khác",21,(23.940.254.377),(113.872.182.540),21.0,-23940254377.0,-113872182540.0
"2. Tiền thu từ thanh lý, nhuộng bán TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 2. Tiền thu từ thanh lý, nhuộng bán TSCĐ và các TSDH khác","2. Tiền thu từ thanh lý, nhuộng bán TSCĐ và các TSDH khác",22,299.704.545,1.937.727.273,22.0,299704545.0,1937727273.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(3.089.435.000.000),(4.583.978.954.424),23.0,-3089435000000.0,-4583978954424.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,3.027.808.804.674,4.422.094.012.198,24.0,3027808804674.0,4422094012198.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Tiền chi đầu tư góp vốn vào đơn vị khác,25,(322.920.000.000),(95.074.950.164),25.0,-322920000000.0,-95074950164.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,170.150.611.876,3.825.000.039,26.0,170150611876.0,3825000039.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. Lưu chuyển tiền từ hoạt động đầu tư > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,112.403.040.612,112.980.673.315,27.0,112403040612.0,112980673315.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(125.633.092.670),(252.088.674.303),30.0,-125633092670.0,-252088674303.0
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,31.465.441.126,31.0,,31465441126.0
2. Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,2.497.415.403.938,3.974.542.900.058,33.0,2497415403938.0,3974542900058.0
3. Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(2.517.396.608.258),(3.604.618.447.899),34.0,-2517396608258.0,-3604618447899.0
