row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,TSCĐ hữu hình khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__TSCĐ hữu hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,292.709.061.579,682.428.917.353,34.993.312.227,13.603.083.842,90.255.504.904,1.113.989.879.905,292709061579.0,682428917353.0,34993312227.0,13603083842.0,90255504904.0,1113989879905.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,1.981.326.447,7.274.527.368,1.990.805.726,640.204.089,-,11.886.863.630,1981326447.0,7274527368.0,1990805726.0,640204089.0,,11886863630.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,91.415.000,32.842.536,-,-,-,124.257.536,91415000.0,32842536.0,,,,124257536.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,-,1.789.047,-,1.789.047,,,,1789047.0,,1789047.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(5.772.422.766),(369.691.300),-,-,(6.142.114.066),,-5772422766.0,-369691300.0,,,-6142114066.0
- Chuyển sang bắt động sản đầu tư,NGUYÊN GIÁ > - Chuyển sang bắt động sản đầu tư,- Chuyển sang bắt động sản đầu tư,(10.950.158.926),-,-,-,-,(10.950.158.926),-10950158926.0,,,,,-10950158926.0
- Giảm do thanh lý công ty con,NGUYÊN GIÁ > - Giảm do thanh lý công ty con,- Giảm do thanh lý công ty con,(73.734.265.735),(75.258.819.115),(1.226.624.346),(90.266.190),(90.059.569.803),(240.369.545.189),-73734265735.0,-75258819115.0,-1226624346.0,-90266190.0,-90059569803.0,-240369545189.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(126.772.003),(45.530.000),-,-,-,(172.302.003),-126772003.0,-45530000.0,,,,-172302003.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,209.970.606.362,608.659.515.376,35.387.802.307,14.154.810.788,195.935.101,868.368.669.934,209970606362.0,608659515376.0,35387802307.0,14154810788.0,195935101.0,868368669934.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
