row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.766.190.932.834,2.568.442.932.276,100.0,,2766190932834.0,2568442932276.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,23.887.787.335,40.802.317.720,110.0,4.0,23887787335.0,40802317720.0
1. Tiền,1. Tiền,1. Tiền,111,,23.887.787.335,40.002.317.720,111.0,,23887787335.0,40002317720.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,800.000.000,112.0,,,800000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,2.021.522.399.101,1.716.310.819.947,120.0,5.0,2021522399101.0,1716310819947.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,222.820.916.182,225.688.745.464,121.0,,222820916182.0,225688745464.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(16.274.574.909),(13.233.988.019),122.0,,-16274574909.0,-13233988019.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.814.976.057.828,1.503.856.062.502,123.0,,1814976057828.0,1503856062502.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,418.689.972.941,397.735.300.508,130.0,,418689972941.0,397735300508.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,305.999.290.584,327.923.813.913,131.0,6.0,305999290584.0,327923813913.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,80.499.600.863,61.914.630.044,132.0,7.0,80499600863.0,61914630044.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,118.002.050.213,86.460.492.470,136.0,8.0,118002050213.0,86460492470.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(85.810.968.719),(78.901.202.364),137.0,9.0,-85810968719.0,-78901202364.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,-,337.566.445,139.0,,,337566445.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,266.294.997.189,373.263.150.528,140.0,10.0,266294997189.0,373263150528.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,271.067.465.341,386.584.366.332,141.0,,271067465341.0,386584366332.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(4.772.468.152),(13.321.215.804),149.0,,-4772468152.0,-13321215804.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,35.795.776.268,40.331.343.573,150.0,,35795776268.0,40331343573.0
