row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
,,,VND,VND,,,,,,
1/Phải thu khách hàng của,1/Phải thu khách hàng của,1/Phải thu khách hàng của,86.439.813.575,15.413.308.534,85.346.314.323,19.746.667.563,86439813575.0,15413308534.0,85346314323.0,19746667563.0
Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,99.436.958,-,99.436.958,,99436958.0,,99436958.0,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,11.909.453,3.572.836,-,-,11909453.0,3572836.0,,
Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),29.741.209.614,5.527.077.920,23.560.044.867,5.463.974.382,29741209614.0,5527077920.0,23560044867.0,5463974382.0
Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP Dược phẩm Cửu Long (Hợp nhất),56.587.257.550,9.882.657.778,61.686.832.498,14.282.693.181,56587257550.0,9882657778.0,61686832498.0,14282693181.0
2/Phải thu khác của,2/Phải thu khác của,2/Phải thu khác của,8.713.146.694,11.931.302,8.869.381.677,11.931.302,8713146694.0,11931302.0,8869381677.0,11931302.0
Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,46.793.763,-,46.793.763,,46793763.0,,46793763.0,
Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),Công ty VTKT Nông nghiệp Cần Thơ (Hợp nhất),3.500.000.000,-,3.500.000.000,-,3500000000.0,,3500000000.0,
Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP Dược phẩm Cửu Long (Hợp nhất),5.166.352.931,11.931.302,5.322.587.914,11.931.302,5166352931.0,11931302.0,5322587914.0,11931302.0
3/Trả trước cho người bán của,3/Trả trước cho người bán của,3/Trả trước cho người bán của,5.868.104.558,-,5.800.463.690,1.571.502.189,5868104558.0,,5800463690.0,1571502189.0
Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,-,-,-,-,,,,
Công ty VTKT Nông nghiệp Cần Thơ,Công ty CP tập đoàn F.I.T - Công ty Mệ > Công ty VTKT Nông nghiệp Cần Thơ,Công ty VTKT Nông nghiệp Cần Thơ,5.305.715.631,-,5.238.340.631,1.571.502.189,5305715631.0,,5238340631.0,1571502189.0
Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP tập đoàn F.I.T - Công ty Mệ > Công ty CP Dược phẩm Cửu Long (Hợp nhất),Công ty CP Dược phẩm Cửu Long (Hợp nhất),562.388.927,-,562.123.059,-,562388927.0,,562123059.0,
4/ Đầu tư tài chính ngắn hạn của,Công ty CP tập đoàn F.I.T - Công ty Mệ > 4/ Đầu tư tài chính ngắn hạn của,4/ Đầu tư tài chính ngắn hạn của,215.143.728,-,215.143.728,-,215143728.0,,215143728.0,
Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ > Công ty CP tập đoàn F.I.T - Công ty Mệ,Công ty CP tập đoàn F.I.T - Công ty Mệ,215.143.728,-,215.143.728,-,215143728.0,,215143728.0,
Cộng,Công ty CP tập đoàn F.I.T - Công ty Mệ > Cộng,Cộng,101.236.208.555,15.425.239.836,100.231.303.418,21.330.101.054,101236208555.0,15425239836.0,100231303418.0,21330101054.0
