row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,2.347.976.057.828,2.347.760.914.100,2.286.349.862.502,2.286.134.718.774,2347976057828.0,2347760914100.0,2286349862502.0,2286134718774.0
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,1.814.976.057.828,1.814.760.914.100,1.503.856.062.502,1.503.640.918.774,1814976057828.0,1814760914100.0,1503856062502.0,1503640918774.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,1.181.115.000.000,1.181.115.000.000,912.890.000.000,912.890.000.000,1181115000000.0,1181115000000.0,912890000000.0,912890000000.0
- Trái phiếu (i),- Trái phiếu (i),- Trái phiếu (i),10.000.000.000,10.000.000.000,-,-,10000000000.0,10000000000.0,,
- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),623.861.057.828,623.645.914.100,590.966.062.502,590.750.918.774,623861057828.0,623645914100.0,590966062502.0,590750918774.0
+ Đầu tư vào tổ chức,+ Đầu tư vào tổ chức,+ Đầu tư vào tổ chức,614.145.914.100,614.145.914.100,582.244.346.450,582.244.346.450,614145914100.0,614145914100.0,582244346450.0,582244346450.0
+ Đầu tư vào cá nhân,+ Đầu tư vào cá nhân,+ Đầu tư vào cá nhân,9.715.143.728,9.500.000.000,8.721.716.052,8.506.572.324,9715143728.0,9500000000.0,8721716052.0,8506572324.0
b2) Dải hạn,b2) Dải hạn,b2) Dải hạn,533.000.000.000,533.000.000.000,782.493.800.000,782.493.800.000,533000000000.0,533000000000.0,782493800000.0,782493800000.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,-,-,132.500.000.000,132.500.000.000,,,132500000000.0,132500000000.0
- Trái phiếu (iii),- Trái phiếu (iii),- Trái phiếu (iii),513.000.000.000,513.000.000.000,512.000.000.000,512.000.000.000,513000000000.0,513000000000.0,512000000000.0,512000000000.0
- Đầu tư dài hạn khác,- Đầu tư dài hạn khác,- Đầu tư dài hạn khác,20.000.000.000,20.000.000.000,137.993.800.000,137.993.800.000,20000000000.0,20000000000.0,137993800000.0,137993800000.0
- Các khoản đầu tư vào tổ chức,- Các khoản đầu tư vào tổ chức,- Các khoản đầu tư vào tổ chức,-,-,137.993.800.000,137.993.800.000,,,137993800000.0,137993800000.0
- Các khoản đầu tư vào cá nhân (iv),- Các khoản đầu tư vào cá nhân (iv),- Các khoản đầu tư vào cá nhân (iv),20.000.000.000,20.000.000.000,-,-,20000000000.0,20000000000.0,,
