row_label_raw,row_label_full,col_0,Số năm khấu hao,numeric__Số năm khấu hao
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05 – 50,
"Mãy móc, thiết bị","Mãy móc, thiết bị","Mãy móc, thiết bị",03 – 25,
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",05 – 20,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 – 10,
"Sức vật, cây lâu năm","Sức vật, cây lâu năm","Sức vật, cây lâu năm",03 – 04,
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,10 – 20,
