row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý (*),Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý (*),numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý (*),numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý (*)
,,,VND,VND,VND,VND,VND,VND,,,,,,
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.195.626.215.673,-,1.135.652.089.265,872.706.215.673,-,811.128.461.699,1195626215673.0,,1135652089265.0,872706215673.0,,811128461699.0
c1) Đầu tư vào công ty liên kết,c1) Đầu tư vào công ty liên kết,c1) Đầu tư vào công ty liên kết,1.169.674.035.673,-,1.135.652.089.265,846.754.035.673,-,811.128.461.699,1169674035673.0,,1135652089265.0,846754035673.0,,811128461699.0
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,423.224.780.000,-,382.465.043.798,423.224.780.000,-,387.711.728.986,423224780000.0,,382465043798.0,423224780000.0,,387711728986.0
Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,364.580.855.673,-,370.115.648.023,364.580.855.673,-,363.604.177.583,364580855673.0,,370115648023.0,364580855673.0,,363604177583.0
Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,58.948.400.000,-,59.866.996.170,58.948.400.000,-,59.812.555.130,58948400000.0,,59866996170.0,58948400000.0,,59812555130.0
Công ty CP Mũi Dinh Ecopark,Công ty CP Mũi Dinh Ecopark,Công ty CP Mũi Dinh Ecopark,322.920.000.000,-,323.204.401.274,-,-,-,322920000000.0,,323204401274.0,,,
c2) Đầu tư góp vốn vào đơn vị khác,c2) Đầu tư góp vốn vào đơn vị khác,c2) Đầu tư góp vốn vào đơn vị khác,25.952.180.000,-,,25.952.180.000,-,,25952180000.0,,,25952180000.0,,
Công ty CP Thương mại và Phát triển Nông,Công ty CP Thương mại và Phát triển Nông,Công ty CP Thương mại và Phát triển Nông,23.680.000.000,-,,23.680.000.000,-,,23680000000.0,,,23680000000.0,,
Nghiệp VP,Nghiệp VP,Nghiệp VP,,,,,,,,,,,,
Công ty CP Đầu tư Phát triển Ngô Việt Nam,Nghiệp VP > Công ty CP Đầu tư Phát triển Ngô Việt Nam,Công ty CP Đầu tư Phát triển Ngô Việt Nam,2.272.180.000,-,,2.272.180.000,-,,2272180000.0,,,2272180000.0,,
