row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Bộ thương hiệu thuốc BVTV,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Bộ thương hiệu thuốc BVTV,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,196.577.208.526,136.363.635,-,1.511.964.200,988.680.000,199.214.216.361,196577208526.0,136363635.0,,1511964200.0,988680000.0,199214216361.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,-,870.428.750,-,870.428.750,,,,870428750.0,,870428750.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,695.501.537,-,-,-,-,695.501.537,695501537.0,,,,,695501537.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(136.363.635),-,(80.000.000),-,(216.363.635),,-136363635.0,,-80000000.0,,-216363635.0
- Chuyển sang BDS đầu tư,NGUYÊN GIÁ > - Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,(80.271.831.466),-,-,-,-,(80.271.831.466),-80271831466.0,,,,,-80271831466.0
- Giảm do thanh lý công ty con,NGUYÊN GIÁ > - Giảm do thanh lý công ty con,- Giảm do thanh lý công ty con,(10.446.219.040),-,-,(349.222.500),-,(10.795.441.540),-10446219040.0,,,-349222500.0,,-10795441540.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(3.612.211.470),-,-,-,-,(3.612.211.470),-3612211470.0,,,,,-3612211470.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,102.942.448.087,-,-,1.953.170.450,988.680.000,105.884.298.537,102942448087.0,,,1953170450.0,988680000.0,105884298537.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,7.174.616.412,136.363.635,-,1.061.489.348,129.078.218,8.501.547.613,7174616412.0,136363635.0,,1061489348.0,129078218.0,8501547613.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.613.285.818,-,-,149.980.720,49.434.000,1.812.700.538,1613285818.0,,,149980720.0,49434000.0,1812700538.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(136.363.635),-,(80.000.000),-,(216.363.635),,-136363635.0,,-80000000.0,,-216363635.0
- Giảm do thanh lý công ty con,GIÁ TRỊ HAO MÔN LỦY KẾ > - Giảm do thanh lý công ty con,- Giảm do thanh lý công ty con,(3.003.141.081),-,-,(349.222.500),-,(3.352.363.581),-3003141081.0,,,-349222500.0,,-3352363581.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,5.784.761.149,-,-,782.247.568,178.512.218,6.745.520.935,5784761149.0,,,782247568.0,178512218.0,6745520935.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,189.402.592.114,-,-,450.474.852,859.601.782,190.712.668.748,189402592114.0,,,450474852.0,859601782.0,190712668748.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,97.157.686.938,-,-,1.170.922.882,810.167.782,99.138.777.602,97157686938.0,,,1170922882.0,810167782.0,99138777602.0
