row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VL1,18.566.811.127,14.495.463.313,,1.0,,18566811127.0,14495463313.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,18.566.811.127,14.495.463.313,,10.0,,18566811127.0,14495463313.0
4.,4.,4.,Giá vốn hàng bán,11,VL2,11.511.790.867,8.925.643.938,,11.0,,11511790867.0,8925643938.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,7.055.020.260,5.569.819.375,,20.0,,7055020260.0,5569819375.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VL3,88.318.365.833,182.255.486.595,,21.0,,88318365833.0,182255486595.0
7.,7.,7.,Chi phí tài chính,22,VL4,25.124.367.976,16.184.098.771,,22.0,,25124367976.0,16184098771.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,[6.585.283.662,7.798.950.760,,23.0,,,7798950760.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VL5,42.747.352.267,37.760.337.500,,26.0,,42747352267.0,37760337500.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,27.501.665.850,133.880.869.699,,30.0,,27501665850.0,133880869699.0
11.,11.,11.,Thu nhập khác,31,,1.751.483.150,264.213.795,,31.0,,1751483150.0,264213795.0
12.,12.,12.,Chi phí khác,32,,1.551.947.439,351.202.947,,32.0,,1551947439.0,351202947.0
13.,13.,13.,Lợi nhuận khác,40,,199.535.711,(86.989.152),,40.0,,199535711.0,-86989152.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,27.701.201.561,133.793.880.547,,50.0,,27701201561.0,133793880547.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.9,5.815.804.391,18.899.214.044,,51.0,,5815804391.0,18899214044.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,21.885.397.170,114.894.666.503,,60.0,,21885397170.0,114894666503.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,VL7,-,-,,70.0,,,
19.,19.,19.,Lãi suy giảm trên cổ phiếu,71,VL7,-,-,,71.0,,,
