row_label_raw,row_label_full,Tên công ty,Công ty con đầu tư,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ quyền biểu quyết thông qua công ty con,numeric__Công ty con đầu tư,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ quyền biểu quyết thông qua công ty con
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Consumer,"Số 276 Nguyễn Đình Chiêu, phường Võ Thị Sầu, quận 3, thành phố Hồ Chí Minh",Phân phối ngành hóa mỹ phẩm,"49,00%",,,,0.49
Công ty Cổ phần Cap Padaran Môi Dinh (tiền thân là Công ty Cổ phần Cap Padaran Môi Dinh),Công ty Cổ phần Cap Padaran Môi Dinh (tiền thân là Công ty Cổ phần Cap Padaran Môi Dinh),Công ty Cổ phần Cap Padaran Môi Dinh (tiền thân là Công ty Cổ phần Cap Padaran Môi Dinh),Công ty Cổ phần Đầu tư Bất động sản F.I.T,"Lầu 4 tỏa nhà Sacombank 757 đường Thống Nhất, Phường Kinh Dinh, TP, Phan Rang-Tháp Chảm, Tính Ninh Thuận, Việt Nam","Dịch vụ hỗ trợ liên quan đến vấn tải, dịch vụ lưu trú ngắn ngày, dịch vụ ăn uống phục vụ lưu động, bán buôn đồ uống","50,00%",,,,0.5
