row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm,Nguyên giả > 44.704.785.906 > -,Giá trị hao mòn lũy kế > 5.975.775.391 > 1.073.473.020,Giá trị còn lại > 38.729.010.515 > (1.073.473.020),numeric__Nguyên giả > 44.704.785.906 > -,numeric__Giá trị hao mòn lũy kế > 5.975.775.391 > 1.073.473.020,numeric__Giá trị còn lại > 38.729.010.515 > (1.073.473.020)
Thanh lý nhượng bán,Thanh lý nhượng bán,Thanh lý nhượng bán,-,-,-,,,
Số cuối năm,Thanh lý nhượng bán > Số cuối năm,Số cuối năm,44.704.785.906,7.049.248.411,37.655.537.495,44704785906.0,7049248411.0,37655537495.0
