row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Đầu tư Dũng Tâm,Công ty Cổ phần Đầu tư Dũng Tâm,Công ty Cổ phần Đầu tư Dũng Tâm,Cổ đông lớn (sở hữu trên 30%),
Công ty Cổ phần Đầu tư Dũng Tâm,Công ty Cổ phần Đầu tư Dũng Tâm,Công ty Cổ phần Đầu tư Dũng Tâm,Công ty có liên quan đến thành viên HDQT,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (FXK),Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (FXK),Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam (FXK),Công ty con cấp 1,
Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),Công ty con cấp 1,
Công ty Cổ phần Dược phẩm Cửu Long (DCL),Công ty Cổ phần Dược phẩm Cửu Long (DCL),Công ty Cổ phần Dược phẩm Cửu Long (DCL),Công ty con cấp 1,
Công ty Cổ phần Đầu tư Bất động sản F.I.T (FLD),Công ty Cổ phần Đầu tư Bất động sản F.I.T (FLD),Công ty Cổ phần Đầu tư Bất động sản F.I.T (FLD),Công ty con cấp 1,
Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây,Công ty con của TSC,
Công ty Cổ phần Hạt giống TSC,Công ty Cổ phần Hạt giống TSC,Công ty Cổ phần Hạt giống TSC,Công ty con của TSC,
Công ty Cổ phần FIT Consumer,Công ty Cổ phần FIT Consumer,Công ty Cổ phần FIT Consumer,Công ty con của TSC,
Công ty Cổ phần Giống Cây Trồng Nông Tín,Công ty Cổ phần Giống Cây Trồng Nông Tín,Công ty Cổ phần Giống Cây Trồng Nông Tín,Công ty con của TSC,
"Công ty Liên doanh sản xuất kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh sản xuất kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh sản xuất kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế",Công ty con của TSC,
Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty TNHH MTV Dược phẩm VPC - Sài Gòn,Công ty con của DCL,
Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,Công ty con của DCL,
Công ty Cổ phần Thiết bị Y tế Benovas,Công ty Cổ phần Thiết bị Y tế Benovas,Công ty Cổ phần Thiết bị Y tế Benovas,Công ty con của DCL,
Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty con của DCL,
Công ty Cổ phần Westfood Hậu Giang,Công ty Cổ phần Westfood Hậu Giang,Công ty Cổ phần Westfood Hậu Giang,Công ty con cấp 2,
Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty con cấp 2,
Công ty Cổ phần đầu tư và phát triển Bất động sản Charlotte,Công ty Cổ phần đầu tư và phát triển Bất động sản Charlotte,Công ty Cổ phần đầu tư và phát triển Bất động sản Charlotte,Công ty con của FLD,
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty liên kết của công ty con,
Công ty Cổ phần Cap Padaran Mũi Đình,Công ty Cổ phần Cap Padaran Mũi Đình,Công ty Cổ phần Cap Padaran Mũi Đình,Công ty liên kết của công ty con,
Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Có chung thành viên quản lý chủ chốt,
Công ty Cổ phần Xuất nhập khẩu TH Nam Sài Gòn,Công ty Cổ phần Xuất nhập khẩu TH Nam Sài Gòn,Công ty Cổ phần Xuất nhập khẩu TH Nam Sài Gòn,Có chung thành viên quản lý chủ chốt,
Công ty Cổ phần Đầu tư Phát triển Công nghệ Cao Việt Mỹ,Công ty Cổ phần Đầu tư Phát triển Công nghệ Cao Việt Mỹ,Công ty Cổ phần Đầu tư Phát triển Công nghệ Cao Việt Mỹ,Có chung thành viên quản lý chủ chốt,
Công ty Cổ phần Đầu tư – Xây dựng và Kinh doanh Nhà Sài Gòn,Công ty Cổ phần Đầu tư – Xây dựng và Kinh doanh Nhà Sài Gòn,Công ty Cổ phần Đầu tư – Xây dựng và Kinh doanh Nhà Sài Gòn,Có chung thành viên quản lý chủ chốt,
Công ty Cổ phần Cảnh Viễn,Công ty Cổ phần Cảnh Viễn,Công ty Cổ phần Cảnh Viễn,Có chung thành viên quản lý chủ chốt,
