row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,161.798.717.448,1.445.446.065.998,(1.398.962.561.700),208.282.221.746,161798717448.0,1445446065998.0,-1398962561700.0,208282221746.0
Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,-,241.149.158.970,(202.145.117.201),39.004.041.769,,241149158970.0,-202145117201.0,39004041769.0
Vay đái hạn đến hạn trả,Vay đái hạn đến hạn trả,Vay đái hạn đến hạn trả,2.545.000.000,-,(2.545.000.000),-,2545000000.0,,-2545000000.0,
Cộng,Cộng,Cộng,164.343.717.448,1.686.595.224.968,(1.603.652.678.901),247.286.263.515,164343717448.0,1686595224968.0,-1603652678901.0,247286263515.0
