row_label_raw,row_label_full,col_0,col_1,Trang,numeric__col_1,numeric__Trang
1.,1.,1.,Mục lực,1,,1.0
2.,2.,2.,Báo cáo của Ban Tổng Giám đốc,2 - 4,,
3.,3.,3.,Báo cáo kiểm toán độc lập,5 - 6,,
4.,4.,4.,Báng cân đối kế toán tại ngày 31 tháng 12 năm 2022,7 - 10,,
5.,4. > 5.,5.,Báo cáo kết quả hoạt động kinh doanhcho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,11,,11.0
6.,6.,6.,Báo cáo lưu chuyển tiền tệcho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,12 - 13,,
7.,7.,7.,Bản thuyết minh Báo cáo tài chínhcho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,14 - 39,,
