row_label_raw,row_label_full,NGUÔN VÔN,NGUÔN VÔN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUÔN VÔN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHÁI TRÀ,C - NỘ PHÁI TRÀ,C - NỘ PHÁI TRÀ,C - NỘ PHÁI TRÀ,300,,263.189.705.140,292.125.633.044,,300.0,,263189705140.0,292125633044.0
I.,I.,I.,Nợ ngắn hạn,310,,263.189.705.140,292.125.633.044,,310.0,,263189705140.0,292125633044.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.8,44.854.941,1.463.288.994,,311.0,,44854941.0,1463288994.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,233.886.852,207.289.238,,312.0,,233886852.0,207289238.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.9,6.250.036.566,10.335.823.976,,313.0,,6250036566.0,10335823976.0
4.,4.,4.,Phải trả người lao động,314,,2.068.978.616,2.215.311.682,,314.0,,2068978616.0,2215311682.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.10,1.651.033.186,1.339.909.117,,315.0,,1651033186.0,1339909117.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,113.332.568,126.345.767,,318.0,,113332568.0,126345767.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.11,719.840.894,107.094.562.820,,319.0,,719840894.0,107094562820.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.12,247.286.263.515,164.343.717.448,,320.0,,247286263515.0,164343717448.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,4.821.478.002,4.999.384.002,,322.0,,4821478002.0,4999384002.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,-,-,,330.0,,,
1.,1.,1.,Phải trả người bán dài hạn,331,,-,-,,331.0,,,
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,,-,-,,336.0,,,
7.,7.,7.,Phải trả dài hạn khác,337,,-,-,,337.0,,,
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,,-,-,,338.0,,,
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
