row_label_raw,row_label_full,A.7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,,,,
Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng giảm giá tài sản tài chính > Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng suy giảm - Cho vay hoạt động ký quỹ,(10.885.787.729),(10.884.281.110),-10885787729.0,-10884281110.0
Cộng,Dự phòng giảm giá tài sản tài chính > Cộng,Cộng,(10.885.787.729),(10.884.281.110),-10885787729.0,-10884281110.0
A.7.5. Các khoản phải thu,A.7.5. Các khoản phải thu,A.7.5. Các khoản phải thu,Số cuối năm,Số đầu năm,,
"A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A.7.5. Các khoản phải thu > A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A.7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư",7.204.466.247,11.597.593.865,7204466247.0,11597593865.0
- Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,A.7.5. Các khoản phải thu > - Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,- Phải thu tiền lãi -giao dịch ứng trước tiền bán CK của nhà đầu tư,102.088.528,100.549.041,102088528.0,100549041.0
- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,A.7.5. Các khoản phải thu > - Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,7.102.377.719,11.497.044.824,7102377719.0,11497044824.0
Cộng,A.7.5. Các khoản phải thu > Cộng,Cộng,7.204.466.247,11.597.593.865,7204466247.0,11597593865.0
A.7.5.2. Phải thu hoạt động Margin,A.7.5. Các khoản phải thu > A.7.5.2. Phải thu hoạt động Margin,A.7.5.2. Phải thu hoạt động Margin,1.708.255.790.726,1.514.718.866.735,1708255790726.0,1514718866735.0
A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,A.7.5. Các khoản phải thu > A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,A.7.5.3. Phải thu các dịch vụ CTCK cung cấp,1.548.651.357,1.575.628.189,1548651357.0,1575628189.0
7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,A.7.5. Các khoản phải thu > 7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,7.5.3.1 Phải thu phí môi giới chứng khoán qua các Sở GD,447.381.357,686.178.189,447381357.0,686178189.0
7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.3.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,,,,
7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK,,,,
7.5.3.4 Phải thu hoạt động tư vấn khác,7.5.3.3 Phải thu hoạt động tư vấn đầu tư CK > 7.5.3.4 Phải thu hoạt động tư vấn khác,7.5.3.4 Phải thu hoạt động tư vấn khác,1.101.259.000,889.450.000,1101259000.0,889450000.0
7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán,,,,
7.5.3.6 Phải thu dịch vụ khác,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán > 7.5.3.6 Phải thu dịch vụ khác,7.5.3.6 Phải thu dịch vụ khác,11.000,,11000.0,
A.7.5.4. Phải thu khác,7.5.3.5 Phải thu hoạt động lưu ký chứng khoán > A.7.5.4. Phải thu khác,A.7.5.4. Phải thu khác,348.007.472,624.047.450,348007472.0,624047450.0
A.7.6. Dự phòng phải thu khó đòi,A.7.6. Dự phòng phải thu khó đòi,A.7.6. Dự phòng phải thu khó đòi,,,,
"CTCK phải thuyết minh chi tiết về loại phải thu khó đòi phải lập dự phòng (chi tiết theo loại, nhóm, đối tượng phải thu khó đòi)","CTCK phải thuyết minh chi tiết về loại phải thu khó đòi phải lập dự phòng (chi tiết theo loại, nhóm, đối tượng phải thu khó đòi)","CTCK phải thuyết minh chi tiết về loại phải thu khó đòi phải lập dự phòng (chi tiết theo loại, nhóm, đối tượng phải thu khó đòi)","CTCK phải thuyết minh chi tiết về loại phải thu khó đòi phải lập dự phòng (chi tiết theo loại, nhóm, đối tượng phải thu khó đòi)","CTCK phải thuyết minh chi tiết về loại phải thu khó đòi phải lập dự phòng (chi tiết theo loại, nhóm, đối tượng phải thu khó đòi)",,
