row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong kỳ > Năm trước > Tăng,Số tăng/ giảm trong kỳ > Năm trước > Giảm,Số tăng/ giảm trong kỳ > Năm nay > Tăng,Số tăng/ giảm trong kỳ > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong kỳ > Năm trước > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm trước > Giảm,numeric__Số tăng/ giảm trong kỳ > Năm nay > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. Biến động vốn chủ sở hữu > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,1.195.445.712.640,1.294.815.013.850,99.369.301.210,,109.303.630.000,,1.294.815.013.850,1.404.118.643.850,,1195445712640.0,1294815013850.0,99369301210.0,,109303630000.0,,1294815013850.0,1404118643850.0
1.1. Cổ phiếu phổ thông có quyền biểu quyết,I. Biến động vốn chủ sở hữu > 1.1. Cổ phiếu phổ thông có quyền biểu quyết,1.1. Cổ phiếu phổ thông có quyền biểu quyết,,993.769.520.000,1.093.136.880.000,99.367.360.000,,109.303.630.000,,1.093.136.880.000,1.202.440.510.000,,993769520000.0,1093136880000.0,99367360000.0,,109303630000.0,,1093136880000.0,1202440510000.0
1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,
1.3. Thăng dư vốn cổ phần,1.2. Cổ phiếu ưu đãi > 1.3. Thăng dư vốn cổ phần,1.3. Thăng dư vốn cổ phần,,201.676.192.640,201.678.133.850,1.941.210,,,,201.678.133.850,201.678.133.850,,201676192640.0,201678133850.0,1941210.0,,,,201678133850.0,201678133850.0
1.4. Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4. Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4. Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,,,,,,,,,,,,,,,,,,
1.5. Vốn khác của chủ sở hữu,1.5. Vốn khác của chủ sở hữu,1.5. Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,
2. Cổ phiếu quỹ (*),1.5. Vốn khác của chủ sở hữu > 2. Cổ phiếu quỹ (*),2. Cổ phiếu quỹ (*),,(2.887.040),(3.588.600),(7.031.350),(6.329.790),(4.418.850),,(3.588.600),(8.007.450),,-2887040.0,-3588600.0,-7031350.0,-6329790.0,-4418850.0,,-3588600.0,-8007450.0
3. Quỹ dự trữ vốn điều lệ,1.5. Vốn khác của chủ sở hữu > 3. Quỹ dự trữ vốn điều lệ,3. Quỹ dự trữ vốn điều lệ,,48.866.408.602,57.823.247.889,8.956.839.287,,11.894.836.861,,57.823.247.889,69.718.084.750,,48866408602.0,57823247889.0,8956839287.0,,11894836861.0,,57823247889.0,69718084750.0
