row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc","Phương tiện, vận tải truyền dẫn","Máy móc, thiết bị","Thiết bị, dụng cụ quản lý",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện, vận tải truyền dẫn","numeric__Máy móc, thiết bị","numeric__Thiết bị, dụng cụ quản lý",numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,161.666.742.666,1.657.468.000,2.323.000.000,48.717.561.013,214.364.771.679,161666742666.0,1657468000.0,2323000000.0,48717561013.0,214364771679.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,,,,4.362.725.230,4.362.725.230,,,,4362725230.0,4362725230.0
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
- Chuyển sang bất động sản,- Chuyển sang bất động sản,- Chuyển sang bất động sản,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang bất động sản > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,46.316.160,46.316.160,,,,46316160.0,46316160.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,161.666.742.666,1.657.468.000,2.323.000.000,53.033.970.083,218.681.180.749,161666742666.0,1657468000.0,2323000000.0,53033970083.0,218681180749.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.261.725.959,241.815.501,663.714.288,40.475.468.657,58.642.724.405,17261725959.0,241815501.0,663714288.0,40475468657.0,58642724405.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,6.591.122.359,276.244.668,331.857.144,5.268.764.044,12.467.988.213,6591122359.0,276244668.0,331857144.0,5268764044.0,12467988213.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
- Chuyển sang bất động sản,- Chuyển sang bất động sản,- Chuyển sang bất động sản,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang bất động sản > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,46.316.160,46.316.160,,,,46316160.0,46316160.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,23.852.848.318,518.060.169,995.571.432,45.697.916.541,71.064.396.460,23852848318.0,518060169.0,995571432.0,45697916541.0,71064396460.0
Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ > - Tại ngày đầu năm,- Tại ngày đầu năm,144.405.016.707,1.415.652.499,1.659.285.712,8.242.092.356,155.722.047.274,144405016707.0,1415652499.0,1659285712.0,8242092356.0,155722047274.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ > - Tại ngày cuối năm,- Tại ngày cuối năm,137.813.894.348,1.139.407.831,1.327.428.568,7.336.053.542,147.616.784.289,137813894348.0,1139407831.0,1327428568.0,7336053542.0,147616784289.0
Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,,,,,,,,,,
