row_label_raw,row_label_full,Tài sản FVTPL,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
"Cô phiếu niêm yết, đăng ký GD","Cô phiếu niêm yết, đăng ký GD","Cô phiếu niêm yết, đăng ký GD",14.695.643.726,288.344.918.114,14.581.140.674,266.746.014.945,14695643726.0,288344918114.0,14581140674.0,266746014945.0
Cô phiếu chưa niêm yết,Cô phiếu chưa niêm yết,Cô phiếu chưa niêm yết,2.006.489.833,2.006.489.833,2.007.364.933,2.007.364.933,2006489833.0,2006489833.0,2007364933.0,2007364933.0
Tiền gửi có kỳ hạn cố định,Tiền gửi có kỳ hạn cố định,Tiền gửi có kỳ hạn cố định,180.000.000.000,180.000.000.000,,,180000000000.0,180000000000.0,,
Công,Công,Công,196.702.133.559,470.351.407.947,16.588.505.607,268.753.379.878,196702133559.0,470351407947.0,16588505607.0,268753379878.0
