row_label_raw,row_label_full,Khoản cho vay vàphải thu,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cho vay hoạt độngký quỹ,Cho vay hoạt độngký quỹ,Cho vay hoạt độngký quỹ,1.708.255.790.726,1.697.370.002.997,1.514.718.866.735,1.503.834.585.625,1708255790726.0,1697370002997.0,1514718866735.0,1503834585625.0
Cho vay nghiệp vụứng trước,Cho vay nghiệp vụứng trước,Cho vay nghiệp vụứng trước,95.034.081.484,95.034.081.484,46.003.809.878,46.003.809.878,95034081484.0,95034081484.0,46003809878.0,46003809878.0
Cho vay hoạt độnggiao dịch chứngkoán phải sinh,Cho vay hoạt độnggiao dịch chứngkoán phải sinh,Cho vay hoạt độnggiao dịch chứngkoán phải sinh,4.249.700,4.249.700,1.931,1.931,4249700.0,4249700.0,1931.0,1931.0
Cộng các khoảncho vay,Cộng các khoảncho vay,Cộng các khoảncho vay,1.803.294.121.910,1.792.408.334.181,1.560.722.678.544,1.549.838.397.434,1803294121910.0,1792408334181.0,1560722678544.0,1549838397434.0
