row_label_raw,row_label_full,STT,Chi tiết chi phí khác,Năm 2019,Năm 2018,numeric__Chi tiết chi phí khác,numeric__Năm 2019,numeric__Năm 2018
1,1,1,Phạt do vi phạm hành chính,100.000.000,,,100000000.0,
2,2,2,Chi phí Token card,48.311.812,123.639.530,,48311812.0,123639530.0
3,3,3,Phí chuyển tiền của NDT,1.203.876.686,1.251.488.354,,1203876686.0,1251488354.0
4,4,4,Chi phí khác,14.986.068.282,24.990.574.056,,14986068282.0,24990574056.0
,,,Cộng,16.338.256.780,26.365.701.940,,16338256780.0,26365701940.0
