row_label_raw,row_label_full,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinec,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinec,172.000.000,,172000000.0,
Cộng,Cộng,Cộng,172.000.000,,172000000.0,
A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,9.555.030.000,863.450.000,9555030000.0,863450000.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > 2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,680.000,,680000.0,
Cộng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > Cộng,Cộng,9.555.710.000,863.450.000,9555710000.0,863450000.0
A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của CTCK,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính > Tài sản tài chính chờ về của CTCK,Tài sản tài chính chờ về của CTCK,2.690.000,3.580.000,2690000.0,3580000.0
Cộng,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính > Cộng,Cộng,2.690.000,3.580.000,2690000.0,3580000.0
A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chưa lưu ký tại VSD của CTCK,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính chưa lưu ký tại VSD của CTCK,Tài sản tài chính chưa lưu ký tại VSD của CTCK,58.667.300.000,67.467.300.000,58667300000.0,67467300000.0
Cộng,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Cộng,Cộng,58.667.300.000,67.467.300.000,58667300000.0,67467300000.0
A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của CTCK,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Tài sản tài chính được hưởng quyền của CTCK,Tài sản tài chính được hưởng quyền của CTCK,760.000,200.000,760000.0,200000.0
Cộng,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Cộng,Cộng,760.000,200.000,760000.0,200000.0
A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,16.235.997.645.250,14.760.903.790.000,16235997645250.0,14760903790000.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,154.923.690.000,143.736.990.000,154923690000.0,143736990000.0
3.Tài sản tài chính giao dịch cầm cố,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 3.Tài sản tài chính giao dịch cầm cố,3.Tài sản tài chính giao dịch cầm cố,881.652.450.000,900.136.150.000,881652450000.0,900136150000.0
"4.Tài sản tài chính phong tỏa, tạm giữ","A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 4.Tài sản tài chính phong tỏa, tạm giữ","4.Tài sản tài chính phong tỏa, tạm giữ",1.226.000.000,1.226.000.000,1226000000.0,1226000000.0
5.Tài sản tài chính chờ thanh toán,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 5.Tài sản tài chính chờ thanh toán,5.Tài sản tài chính chờ thanh toán,200.134.972.560,151.895.430.000,200134972560.0,151895430000.0
Cộng,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > Cộng,Cộng,17.473.934.757.810,15.957.898.360.000,17473934757810.0,15957898360000.0
A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tưTài sản tài chính,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tưTài sản tài chính,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
"1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tưTài sản tài chính > 1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng",10.601.270.000,23.544.390.000,10601270000.0,23544390000.0
"2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tưTài sản tài chính > 2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng",72.770.370.000,67.075.530.000,72770370000.0,67075530000.0
"3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố",,,,
"4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ","4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ","4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ",,,,
Cộng,"4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ > Cộng",Cộng,83.371.640.000,90.619.920.000,83371640000.0,90619920000.0
A.7.19. Tài sản tài chính chờ về của Nhà đầu tưTài sản tài chính,A.7.19. Tài sản tài chính chờ về của Nhà đầu tưTài sản tài chính,A.7.19. Tài sản tài chính chờ về của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tưTài sản tài chính > Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính chờ về của Nhà đầu tư,177.202.904.280,139.030.170.000,177202904280.0,139030170000.0
Cộng,A.7.19. Tài sản tài chính chờ về của Nhà đầu tưTài sản tài chính > Cộng,Cộng,177.202.904.280,139.030.170.000,177202904280.0,139030170000.0
A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tưTài sản tài chính,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tưTài sản tài chính,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tưTài sản tài chính > Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính được hưởng quyền của Nhà đầu tư,1.366.090.000,14.151.970.000,1366090000.0,14151970000.0
Cộng,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tưTài sản tài chính > Cộng,Cộng,1.366.090.000,14.151.970.000,1366090000.0,14151970000.0
