row_label_raw,row_label_full,STT,Chi tiết chi phí thuế TNDN,Năm 2019,Năm 2018,numeric__Chi tiết chi phí thuế TNDN,numeric__Năm 2019,numeric__Năm 2018
1,1,1,Chi phí thuế thu nhập CTCK hiện hành,,,,,
1.1,1 > 1.1,1.1,- Chi phí thuế thu nhập CTCK tính trên thu nhập chịu thuế năm hiện hành,40.927.278.553,52.971.545.348,,40927278553.0,52971545348.0
1.2,1.2,1.2,- Điều chỉnh Chi phí thuế thu nhập CTCK của các năm trước vào Chi phí thuế thu nhập hiện hành năm nay,,,,,
1.3,1.2 > 1.3,1.3,- Tổng chi phí thuế thu nhập CTCK hiện hành,40.927.278.553,52.971.545.348,,40927278553.0,52971545348.0
2,2,2,Chi phí thuế thu nhập CTCK hoãn lại,,,,,
