row_label_raw,row_label_full,STT,Loại phải thu khó đòi phải lập dự phòng,Giá trị phải thu khó đòi,Số cuối năm > Tham chiếu,Số cuối năm > Số đầu năm,Số cuối năm > Số trích lập trong năm,Số cuối năm > Số hoàn nhập trong năm,Số cuối năm,Số đầu năm,numeric__Loại phải thu khó đòi phải lập dự phòng,numeric__Giá trị phải thu khó đòi,numeric__Số cuối năm > Tham chiếu,numeric__Số cuối năm > Số đầu năm,numeric__Số cuối năm > Số trích lập trong năm,numeric__Số cuối năm > Số hoàn nhập trong năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,Dự phòng nợ phải thu khác khó đòi,299.600.000,,223.260.000,12.540.000,185.200.000,50.600.000,190.150.000,,299600000.0,,223260000.0,12540000.0,185200000.0,50600000.0,190150000.0
,,,Công ty CP Công nghiệp Tàu thủy Shinec (*),172.000.000,,172.000.000,,172.000.000,,172.000.000,,172000000.0,,172000000.0,,172000000.0,,172000000.0
,,,Công ty CP Lilama 3,13.200.000,,9.240.000,,9.240.000,,6.600.000,,13200000.0,,9240000.0,,9240000.0,,6600000.0
,,,Công ty CP Lisemco,71.500.000,,29.150.000,6.600.000,,35.750.000,11.550.000,,71500000.0,,29150000.0,6600000.0,,35750000.0,11550000.0
,,,Công ty CP Tập đoàn Tiến Bộ,13.200.000,,3.960.000,,3.960.000,,,,13200000.0,,3960000.0,,3960000.0,,
,,,Công ty CP May Phú Thành,13.200.000,,3.960.000,2.640.000,,6.600.000,,,13200000.0,,3960000.0,2640000.0,,6600000.0,
,,,Công ty CP Tập đoàn Đầu tư EDX,16.500.000,,4.950.000,3.300.000,,8.250.000,,,16500000.0,,4950000.0,3300000.0,,8250000.0,
,,,Cộng,299.600.000,,223.260.000,12.540.000,185.200.000,50.600.000,190.150.000,,299600000.0,,223260000.0,12540000.0,185200000.0,50600000.0,190150000.0
