row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm 2019,Năm 2018,numeric__Các loại doanh thu hoạt động khác,numeric__Năm 2019,numeric__Năm 2018
1,1,1,Doanh thu đại lý đấu giá,113.500.724,34.483.208,,113500724.0,34483208.0
2,2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",89.049.036,24.500.000,,89049036.0,24500000.0
3,3,3,Phí quản lý tài sản cầm cố,30.000.000,45.383.700,,30000000.0,45383700.0
4,4,4,Doanh thu khác,,742.358.885,,,742358885.0
Công,Công,Công,Công,232.549.760,846.725.793,,232549760.0,846725793.0
