row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Năm 2019,Năm 2018,numeric__Loại chi phí quản lý CTCK,numeric__Năm 2019,numeric__Năm 2018
1,1,1,Chi phí lương và khác khoản khác theo lương,24.529.666.291,22.704.671.311,,24529666291.0,22704671311.0
,,,Trong đó: CP Lương của Tổng giám đốc,768.960.000,955.800.000,,768960000.0,955800000.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN",2.065.977.600,1.659.755.350,,2065977600.0,1659755350.0
3,3,3,Chi phí đào tạo tuyển dụng,118.500.000,92.070.118,,118500000.0,92070118.0
4,4,4,Chi phí vật tư văn phòng,1.120.102.280,2.030.177.442,,1120102280.0,2030177442.0
5,5,5,"Chi phí công cụ, dụng cụ",,,,,
6,5 > 6,6,Chi phí khấu hao TSCĐ,10.709.474.143,10.545.674.312,,10709474143.0,10545674312.0
7,5 > 7,7,"Chi phí thuế, phí và lệ phí",27.717.755,30.117.755,,27717755.0,30117755.0
8,8,8,Chi phí dự phòng và hoàn nhập dự phòng,,,,,
9,8 > 9,9,Chi phí dịch vụ mua ngoài,10.597.376.359,12.396.314.022,,10597376359.0,12396314022.0
10,8 > 10,10,Chi phí khác,2.889.592.405,1.073.022.988,,2889592405.0,1073022988.0
,,,Cộng,52.058.406.833,50.531.803.298,,52058406833.0,50531803298.0
