row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Đầu tư vào công ty con(Thuyết minh số 12.1),Đầu tư vào công ty con(Thuyết minh số 12.1),Đầu tư vào công ty con(Thuyết minh số 12.1),112.000.000.000,-,112.000.000.000,-,112000000000.0,,112000000000.0,
Đầu tư vào công ty liên kết(Thuyết minh số 12.2),Đầu tư vào công ty liên kết(Thuyết minh số 12.2),Đầu tư vào công ty liên kết(Thuyết minh số 12.2),100.079.200.000,-,100.079.200.000,-,100079200000.0,,100079200000.0,
Đầu tư vào đơn vị khác(Thuyết minh số 12.3),Đầu tư vào đơn vị khác(Thuyết minh số 12.3),Đầu tư vào đơn vị khác(Thuyết minh số 12.3),37.360.000.000,-,37.360.000.000,-,37360000000.0,,37360000000.0,
Đầu tư nắm giữ đến ngàyđáo hạn(Thuyết minh số 12.4),Đầu tư nắm giữ đến ngàyđáo hạn(Thuyết minh số 12.4),Đầu tư nắm giữ đến ngàyđáo hạn(Thuyết minh số 12.4),70.000.000.000,-,30.000.000.000,,70000000000.0,,30000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,319.439.200.000,-,279.439.200.000,-,319439200000.0,,279439200000.0,
