row_label_raw,row_label_full,Năm trước > Số đầu năm (phân loại lại) > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 4.224.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 518.939.667.271 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.639.619.209.453 > 1.109.931.425.058,Đơn vị tính: VND Tổng cộng > Năm trước > 6.382.558.876.724 > 1.109.931.425.058,numeric__Vốn cổ phần đã phát hành > Năm trước > 4.224.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 518.939.667.271 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.639.619.209.453 > 1.109.931.425.058,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 6.382.558.876.724 > 1.109.931.425.058
- Cổ tức công bố,- Cổ tức công bố,- Cổ tức công bố,-,-,(2.280.960.000.000),(2.280.960.000.000),,,-2280960000000.0,-2280960000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,(51.747.906.000),(51.747.906.000),,,-51747906000.0,-51747906000.0
- Hoàn nhập quỹ đầu tư phát triển,- Hoàn nhập quỹ đầu tư phát triển,- Hoàn nhập quỹ đầu tư phát triển,-,(19.000.000.000),19.000.000.000,-,,-19000000000.0,19000000000.0,
Số cuối năm,Số cuối năm,Số cuối năm,4.224.000.000.000,499.939.667.271,435.842.728.511,5.159.782.395.782,4224000000000.0,499939667271.0,435842728511.0,5159782395782.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm (phân loại lại),Năm nay > Số đầu năm (phân loại lại),Số đầu năm (phân loại lại),4.224.000.000.000,499.939.667.271,435.842.728.511,5.159.782.395.782,4224000000000.0,499939667271.0,435842728511.0,5159782395782.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,905.914.768.216,905.914.768.216,,,905914768216.0,905914768216.0
- Cổ tức công bố (i) & (ii),Năm nay > - Cổ tức công bố (i) & (ii),- Cổ tức công bố (i) & (ii),-,-,(865.920.000.000),(865.920.000.000),,,-865920000000.0,-865920000000.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,(52.686.305.125),(52.686.305.125),,,-52686305125.0,-52686305125.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.224.000.000.000,499.939.667.271,423.151.191.602,5.147.090.858.873,4224000000000.0,499939667271.0,423151191602.0,5147090858873.0
