row_label_raw,row_label_full,Bên liên quan > Tập đoàn Điện lực Việt Nam,Nội dung nghiệp vụ > Mua dịch vụ,Năm nay > 4.143.032.782,Đơn vị tính: VND > 5.436.994.559,numeric__Nội dung nghiệp vụ > Mua dịch vụ,numeric__Năm nay > 4.143.032.782,numeric__Đơn vị tính: VND > 5.436.994.559
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Lãi cho vay,28.539.825.564,71.154.024.775,,28539825564.0,71154024775.0
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Chia cổ tức,865.311.355.000,2.279.356.740.000,,865311355000.0,2279356740000.0
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Cổ tức đã trả,1.202.993.835.000,844.206.200.000,,1202993835000.0,844206200000.0
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Thu tiền cho vay,799.932.824.894,-,,799932824894.0,
Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Doanh thu phát điện,2.004.452.607.641,2.283.967.798.273,,2004452607641.0,2283967798273.0
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Cổ tức được chia,7.456.000.000,6.969.600.000,,7456000000.0,6969600000.0
Thủy điện Sông Ba Hạ,Thủy điện Sông Ba Hạ,Thủy điện Sông Ba Hạ,Cổ tức đã nhận,6.816.000.000,9.969.600.000,,6816000000.0,9969600000.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Cổ tức được chia,18.025.113.241,24.668.794.985,,18025113241.0,24668794985.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Cổ tức đã nhận,22.138.728.296,19.265.645.430,,22138728296.0,19265645430.0
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Cổ tức được chia,29.998.900.000,9.998.900.000,,29998900000.0,9998900000.0
Phong điện Thuận Bình,Phong điện Thuận Bình,Phong điện Thuận Bình,Cổ tức đã nhận,19.998.900.000,9.998.900.000,,19998900000.0,9998900000.0
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,Cung cấp dịch vụ,1.410.810.000,509.164.180,,1410810000.0,509164180.0
Thủy điện Hạ Sông,Thủy điện Hạ Sông,Thủy điện Hạ Sông,Cổ tức được chia,11.200.000.000,11.200.000.000,,11200000000.0,11200000000.0
Pha,Pha,Pha,Cổ tức đã nhận,11.200.000.000,11.200.000.000,,11200000000.0,11200000000.0
