row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > -,Số phải nộp trong năm > 160.658.454.545,Số đã nộp/cán trừ trong năm > (152.287.766.023),Đơn vị tính: VND > 8.370.688.522,numeric__Số đầu năm > -,numeric__Số phải nộp trong năm > 160.658.454.545,numeric__Số đã nộp/cán trừ trong năm > (152.287.766.023),numeric__Đơn vị tính: VND > 8.370.688.522
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,83.710.539.605,197.910.479.866,(170.428.539.606),111.192.479.865,83710539605.0,197910479866.0,-170428539606.0,111192479865.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.003.348.100,17.714.153.456,(15.349.597.256),3.367.904.300,1003348100.0,17714153456.0,-15349597256.0,3367904300.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,20.153.817.202,270.473.763.512,(267.834.656.457),22.792.924.257,20153817202.0,270473763512.0,-267834656457.0,22792924257.0
Thuế khác,Thuế khác,Thuế khác,27.428.993.244,95.847.367.896,(95.693.519.628),27.582.841.512,27428993244.0,95847367896.0,-95693519628.0,27582841512.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,132.296.698.151,742.604.219.275,(701.594.078.970),173.306.838.456,132296698151.0,742604219275.0,-701594078970.0,173306838456.0
