row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,9.025.131.092.687,5.672.901.932.517,78.148.724.111,57.297.636.956,217.380.507,14.833.696.766.778,9025131092687.0,5672901932517.0,78148724111.0,57297636956.0,217380507.0,14833696766778.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,1.462.256.776,101.705.785.548,2.549.574.074,187.119.529,-,105.904.735.927,1462256776.0,101705785548.0,2549574074.0,187119529.0,,105904735927.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,9.026.593.349.463,5.774.607.718.065,80.698.298.185,57.484.756.485,217.380.507,14.939.601.502.705,9026593349463.0,5774607718065.0,80698298185.0,57484756485.0,217380507.0,14939601502705.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.396.933.426.336,2.373.856.749.292,48.530.758.555,50.230.050.464,217.380.507,3.869.768.365.154,1396933426336.0,2373856749292.0,48530758555.0,50230050464.0,217380507.0,3869768365154.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,5.445.476.910.130,4.721.165.866.115,61.089.871.558,51.909.304.281,217.380.507,10.279.859.332.591,5445476910130.0,4721165866115.0,61089871558.0,51909304281.0,217380507.0,10279859332591.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,196.751.521.498,162.120.725.246,3.761.853.336,1.970.598.451,-,364.604.698.531,196751521498.0,162120725246.0,3761853336.0,1970598451.0,,364604698531.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,5.642.228.431.628,4.883.286.591.361,64.851.724.894,53.879.902.732,217.380.507,10.644.464.031.122,5642228431628.0,4883286591361.0,64851724894.0,53879902732.0,217380507.0,10644464031122.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.579.654.182.557,951.736.066.402,17.058.852.553,5.388.332.675,-,4.553.837.434.187,3579654182557.0,951736066402.0,17058852553.0,5388332675.0,,4553837434187.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.384.364.917.835,891.321.126.704,15.846.573.291,3.604.853.753,-,4.295.137.471.583,3384364917835.0,891321126704.0,15846573291.0,3604853753.0,,4295137471583.0
