row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(Phân loại lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Phân loại lại)
300,300,300,C. NỘ PHẢI TRẢ,,2.017.708.372.452,2.521.929.694.612,,,2017708372452.0,2521929694612.0
310,310,310,I. Nợ ngắn hạn,,914.452.676.236,1.293.647.930.357,,,914452676236.0,1293647930357.0
311,311,311,1. Phải trả người bán ngắn hạn,14,72.672.662.118,146.095.934.134,,14.0,72672662118.0,146095934134.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,574.703.982,240.636.582,,,574703982.0,240636582.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,15,173.306.838.456,132.296.698.151,,15.0,173306838456.0,132296698151.0
314,314,314,4. Phải trả người lao động,,25.485.080.701,36.902.367.150,,,25485080701.0,36902367150.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,16,10.648.742.743,11.718.984.836,,16.0,10648742743.0,11718984836.0
319,319,319,6. Phải trả ngắn hạn khác,17,508.465.171.333,845.540.888.494,,17.0,508465171333.0,845540888494.0
320,320,320,7. Vay ngắn hạn,18,100.480.322.540,101.389.844.451,,18.0,100480322540.0,101389844451.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",20,22.819.154.363,19.462.576.559,,20.0,22819154363.0,19462576559.0
330,330,330,II. Nợ dài hạn,,1.103.255.696.216,1.228.281.764.255,,,1103255696216.0,1228281764255.0
338,338,338,1. Vay dài hạn,18,1.103.255.696.216,1.228.281.764.255,,18.0,1103255696216.0,1228281764255.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,5.147.090.858.873,5.159.782.395.782,,,5147090858873.0,5159782395782.0
410,410,410,I. Vốn chủ sở hữu,19,5.147.090.858.873,5.159.782.395.782,,19.0,5147090858873.0,5159782395782.0
411,411,411,1. Vốn cổ phần đã phát hành,,4 224 000 000 000,4.224.000.000.000,,,,4224000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,4.224.000.000.000,4.224.000.000.000,,,4224000000000.0,4224000000000.0
418,418,418,2. Quỹ đầu tư phát triển,,499.939.667.271,499.939.667.271,,,499939667271.0,499939667271.0
421,421,421,3. Lợi nhuận sau thuế chưa phân phối,,423.151.191.602,435.842.728.511,,,423151191602.0,435842728511.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,24.116.423.386,-,,,24116423386.0,
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,399.034.768.216,435.842.728.511,,,399034768216.0,435842728511.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,7.164.799.231.325,7.681.712.090.394,,,7164799231325.0,7681712090394.0
