row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Mua bán điện- Tập đoàn Điện lực Việt Nam,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Bán điện,Năm nay > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992,Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 1.167.567.968.808,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Bán điện,numeric__Năm nay > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992,numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 1.167.567.968.808
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,857.336.249.992,1.167.567.968.808,,857336249992.0,1167567968808.0
Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),Phải thu về cho vay (Chỉ tiêu số 135 và 215),,,
Tổng Công ty Phát điện 1,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu về cho vay ngắn hạn,-,200.000.000.000,,,200000000000.0
Tổng Công ty Phát điện 1,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu về cho vay dài hạn,-,599.932.824.894,,,599932824894.0
TỔNG CỘNG,Phải thu về cho vay (Chỉ tiêu số 135 và 215) > TỔNG CỘNG,TỔNG CỘNG,,-,799.932.824.894,,,799932824894.0
Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),,,
Tổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu lãi cho vay và trả hộ,-,38.450.656.755,,,38450656755.0
Công ty Cổ phần Phong điện Thuận Bình,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Phải thu cổ tức,10.000.000.000,-,,10000000000.0,
Công ty Cổ phần Thủy điện A Vương,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Phải thu cổ tức,1.289.534.500,5.403.149.555,,1289534500.0,5403149555.0
Công ty Cổ phần Thủy điện Sông Ba Hạ,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Phải thu cổ tức,640.000.000,-,,640000000.0,
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,11.929.534.500,43.853.806.310,,11929534500.0,43853806310.0
Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),,,
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Phải trả người bán ngắn hạn (Thuyết minh số 14) > Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Mua dịch vụ,2.561.844.320,1.061.202.907,,2561844320.0,1061202907.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Phải trả người bán ngắn hạn (Thuyết minh số 14) > Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Mua dịch vụ,4.438.908.000,4.745.613.171,,4438908000.0,4745613171.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 14) > TỔNG CỘNG,TỔNG CỘNG,,7.000.752.320,5.806.816.078,,7000752320.0,5806816078.0
Phải trả khác ngắn hạn (Thuyết minh số 17),Phải trả khác ngắn hạn (Thuyết minh số 17),Phải trả khác ngắn hạn (Thuyết minh số 17),Phải trả khác ngắn hạn (Thuyết minh số 17),Phải trả khác ngắn hạn (Thuyết minh số 17),Phải trả khác ngắn hạn (Thuyết minh số 17),,,
Tổng Công ty Phát điện 1,Phải trả khác ngắn hạn (Thuyết minh số 17) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải trả cổ tức và thu hộ chi hộ,506.972.330.802,844.206.200.000,,506972330802.0,844206200000.0
Tập đoàn Điện lực Việt Nam,Phải trả khác ngắn hạn (Thuyết minh số 17) > Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,448.610.802,479.963.517,,448610802.0,479963517.0
TỔNG CỘNG,Phải trả khác ngắn hạn (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,,507.420.941.604,844.686.163.517,,507420941604.0,844686163517.0
