row_label_raw,row_label_full,Phải thu bên liên quan(Thuyết minh số 27),Số cuối năm > 857.336.249.992,Đơn vị tính: VND > Số đầu năm > 1.167.567.968.808,numeric__Số cuối năm > 857.336.249.992,numeric__Đơn vị tính: VND > Số đầu năm > 1.167.567.968.808
Phải thu từ các bên khác,Phải thu từ các bên khác,Phải thu từ các bên khác,2.810.418.937,3.549.320.292,2810418937.0,3549320292.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,860.146.668.929,1.171.117.289.100,860146668929.0,1171117289100.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(2.337.623.033),(2.020.213.695),-2337623033.0,-2020213695.0
