row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,309.445.902.345,323.187.545.638,29.120.834.724,-,23.892.473.550,14.982.236.379,700.628.992.636,309445902345.0,323187545638.0,29120834724.0,,23892473550.0,14982236379.0,700628992636.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,309.445.902.345,323.187.545.638,29.120.834.724,-,23.892.473.550,14.982.236.379,700.628.992.636,309445902345.0,323187545638.0,29120834724.0,,23892473550.0,14982236379.0,700628992636.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,178.598.483.905,26.999.253.432,14.642.957.431,-,11.518.443.978,4.176.305.683,235.935.444.429,178598483905.0,26999253432.0,14642957431.0,,11518443978.0,4176305683.0,235935444429.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,235.935.444.429,,,,,,,235935444429.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,57.923.970.746,,,,,,,57923970746.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,-,,,,,,,
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,,29.333.990.483,,,,,,,29333990483.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,,(29.525.970.344),,,,,,,-29525970344.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(50.058.879.016),,,,,,,-50058879016.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,243.608.556.298,,,,,,,243608556298.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,28.631.228.053,1.259.725.743.234,3.173.200.958,-,-,820.660.044,1.292.350.832.290,28631228053.0,1259725743234.0,3173200958.0,,,820660044.0,1292350832290.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,64.414.366.914,1.494.465.512,12.720.776.708,-,-,111.610.685,78.741.219.819,64414366914.0,1494465512.0,12720776708.0,,,111610685.0,78741219819.0
