row_label_raw,row_label_full,Số đầu năm > Mua trong năm,Nguyên giá > 24.376.324.662 > 979.118.000,Hao mòn lũy kế > 12.411.072.708,Giá trị còn lại > 11.965.251.954,numeric__Nguyên giá > 24.376.324.662 > 979.118.000,numeric__Hao mòn lũy kế > 12.411.072.708,numeric__Giá trị còn lại > 11.965.251.954
Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.795.900.000,,,2795900000.0,,
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,,2.469.811.138,,,2469811138.0,
Số cuối năm,Số cuối năm,Số cuối năm,28.151.342.662,14.880.883.846,13.270.458.816,28151342662.0,14880883846.0,13270458816.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,6.759.789.604,,,6759789604.0,,
